,feature,rank
0,FlowID,0
1,SourceIP,1
2,SourcePort,1
3,DestinationIP,1
4,DestinationPort,0
5,Protocol,0
6,FlowDuration,0
7,TotalFwdPackets,1
8,TotalBackwardPackets,1
9,TotalLengthofFwdPackets,1
10,TotalLengthofBwdPackets,0
11,FwdPacketLengthMax,1
12,FwdPacketLengthMin,1
13,FwdPacketLengthMean,1
14,FwdPacketLengthStd,1
15,BwdPacketLengthMax,1
16,BwdPacketLengthMin,1
17,BwdPacketLengthMean,1
18,BwdPacketLengthStd,1
19,FlowBytes/s,0
20,FlowPackets/s,1
21,FlowIATMean,1
22,FlowIATStd,1
23,FlowIATMax,1
24,FlowIATMin,1
25,FwdIATTotal,1
26,FwdIATMean,1
27,FwdIATStd,1
28,FwdIATMax,0
29,FwdIATMin,1
30,BwdIATTotal,1
31,BwdIATMean,1
32,BwdIATStd,1
33,BwdIATMax,1
34,BwdIATMin,1
35,FwdPSHFlags,1
36,BwdPSHFlags,0
37,FwdURGFlags,0
38,BwdURGFlags,0
39,FwdHeaderLength,0
40,BwdHeaderLength,1
41,FwdPackets/s,1
42,BwdPackets/s,1
43,MinPacketLength,0
44,MaxPacketLength,1
45,PacketLengthMean,1
46,PacketLengthStd,1
47,PacketLengthVariance,1
48,FINFlagCount,0
49,SYNFlagCount,0
50,RSTFlagCount,0
51,PSHFlagCount,0
52,ACKFlagCount,1
53,URGFlagCount,1
54,CWEFlagCount,1
55,ECEFlagCount,0
56,Down/UpRatio,1
57,AveragePacketSize,1
58,AvgFwdSegmentSize,0
59,AvgBwdSegmentSize,0
60,FwdHeaderLength.1,0
61,FwdAvgBytes/Bulk,0
62,FwdAvgPackets/Bulk,0
63,FwdAvgBulkRate,0
64,BwdAvgBytes/Bulk,0
65,BwdAvgPackets/Bulk,0
66,BwdAvgBulkRate,0
67,SubflowFwdPackets,0
68,SubflowFwdBytes,0
69,SubflowBwdPackets,0
70,SubflowBwdBytes,1
71,Init_Win_bytes_forward,0
72,Init_Win_bytes_backward,0
73,act_data_pkt_fwd,1
74,min_seg_size_forward,0
75,ActiveMean,1
76,ActiveStd,1
77,ActiveMax,1
78,ActiveMin,1
79,IdleMean,1
80,IdleStd,0
81,IdleMax,0
82,IdleMin,1
83,SimillarHTTP,1
84,Inbound,0
85,Label,0
