,feature,rank
0,FlowID,1
1,SourceIP,0
2,SourcePort,1
3,DestinationIP,0
4,DestinationPort,1
5,Protocol,0
6,FlowDuration,1
7,TotalFwdPackets,0
8,TotalBackwardPackets,0
9,TotalLengthofFwdPackets,0
10,TotalLengthofBwdPackets,1
11,FwdPacketLengthMax,0
12,FwdPacketLengthMin,0
13,FwdPacketLengthMean,0
14,FwdPacketLengthStd,1
15,BwdPacketLengthMax,1
16,BwdPacketLengthMin,1
17,BwdPacketLengthMean,1
18,BwdPacketLengthStd,1
19,FlowBytes/s,1
20,FlowPackets/s,0
21,FlowIATMean,1
22,FlowIATStd,1
23,FlowIATMax,1
24,FlowIATMin,1
25,FwdIATTotal,1
26,FwdIATMean,0
27,FwdIATStd,0
28,FwdIATMax,1
29,FwdIATMin,0
30,BwdIATTotal,0
31,BwdIATMean,0
32,BwdIATStd,0
33,BwdIATMax,1
34,BwdIATMin,1
35,FwdPSHFlags,1
36,BwdPSHFlags,1
37,FwdURGFlags,1
38,BwdURGFlags,0
39,FwdHeaderLength,0
40,BwdHeaderLength,1
41,FwdPackets/s,0
42,BwdPackets/s,1
43,MinPacketLength,0
44,MaxPacketLength,0
45,PacketLengthMean,0
46,PacketLengthStd,0
47,PacketLengthVariance,0
48,FINFlagCount,1
49,SYNFlagCount,1
50,RSTFlagCount,1
51,PSHFlagCount,1
52,ACKFlagCount,0
53,URGFlagCount,1
54,CWEFlagCount,1
55,ECEFlagCount,1
56,Down/UpRatio,0
57,AveragePacketSize,0
58,AvgFwdSegmentSize,0
59,AvgBwdSegmentSize,0
60,FwdHeaderLength.1,1
61,FwdAvgBytes/Bulk,1
62,FwdAvgPackets/Bulk,1
63,FwdAvgBulkRate,1
64,BwdAvgBytes/Bulk,1
65,BwdAvgPackets/Bulk,1
66,BwdAvgBulkRate,1
67,SubflowFwdPackets,0
68,SubflowFwdBytes,0
69,SubflowBwdPackets,1
70,SubflowBwdBytes,1
71,Init_Win_bytes_forward,0
72,Init_Win_bytes_backward,1
73,act_data_pkt_fwd,0
74,min_seg_size_forward,1
75,ActiveMean,1
76,ActiveStd,0
77,ActiveMax,1
78,ActiveMin,1
79,IdleMean,0
80,IdleStd,1
81,IdleMax,1
82,IdleMin,1
83,SimillarHTTP,1
84,Inbound,1
85,Label,0
