,feature,rank
0,DestinationPort,1
1,FlowDuration,1
2,TotalFwdPackets,1
3,TotalBackwardPackets,1
4,TotalLengthofFwdPackets,0
5,TotalLengthofBwdPackets,0
6,FwdPacketLengthMax,1
7,FwdPacketLengthMin,1
8,FwdPacketLengthMean,1
9,FwdPacketLengthStd,1
10,BwdPacketLengthMax,1
11,BwdPacketLengthMin,0
12,BwdPacketLengthMean,1
13,BwdPacketLengthStd,1
14,FlowBytes/s,1
15,FlowPackets/s,1
16,FlowIATMean,1
17,FlowIATStd,0
18,FlowIATMax,1
19,FlowIATMin,1
20,FwdIATTotal,1
21,FwdIATMean,0
22,FwdIATStd,0
23,FwdIATMax,0
24,FwdIATMin,1
25,BwdIATTotal,1
26,BwdIATMean,0
27,BwdIATStd,1
28,BwdIATMax,0
29,BwdIATMin,1
30,FwdPSHFlags,1
31,BwdPSHFlags,1
32,FwdURGFlags,1
33,BwdURGFlags,1
34,FwdHeaderLength,1
35,BwdHeaderLength,0
36,FwdPackets/s,1
37,BwdPackets/s,0
38,MinPacketLength,1
39,MaxPacketLength,1
40,PacketLengthMean,0
41,PacketLengthStd,0
42,PacketLengthVariance,1
43,FINFlagCount,0
44,SYNFlagCount,1
45,RSTFlagCount,0
46,PSHFlagCount,1
47,ACKFlagCount,1
48,URGFlagCount,1
49,CWEFlagCount,0
50,ECEFlagCount,1
51,Down/UpRatio,0
52,AveragePacketSize,1
53,AvgFwdSegmentSize,0
54,AvgBwdSegmentSize,1
55,FwdHeaderLength.1,1
56,FwdAvgBytes/Bulk,1
57,FwdAvgPackets/Bulk,1
58,FwdAvgBulkRate,1
59,BwdAvgBytes/Bulk,1
60,BwdAvgPackets/Bulk,1
61,BwdAvgBulkRate,1
62,SubflowFwdPackets,0
63,SubflowFwdBytes,0
64,SubflowBwdPackets,0
65,SubflowBwdBytes,0
66,Init_Win_bytes_forward,1
67,Init_Win_bytes_backward,1
68,act_data_pkt_fwd,0
69,min_seg_size_forward,0
70,ActiveMean,1
71,ActiveStd,1
72,ActiveMax,0
73,ActiveMin,1
74,IdleMean,0
75,IdleStd,0
76,IdleMax,0
77,IdleMin,1
78,Label,0
