,feature,rank
0,DestinationPort,1
1,FlowDuration,0
2,TotalFwdPackets,0
3,TotalBackwardPackets,0
4,TotalLengthofFwdPackets,0
5,TotalLengthofBwdPackets,0
6,FwdPacketLengthMax,0
7,FwdPacketLengthMin,1
8,FwdPacketLengthMean,0
9,FwdPacketLengthStd,0
10,BwdPacketLengthMax,0
11,BwdPacketLengthMin,1
12,BwdPacketLengthMean,0
13,BwdPacketLengthStd,0
14,FlowBytes/s,1
15,FlowPackets/s,0
16,FlowIATMean,0
17,FlowIATStd,0
18,FlowIATMax,0
19,FlowIATMin,0
20,FwdIATTotal,0
21,FwdIATMean,0
22,FwdIATStd,0
23,FwdIATMax,0
24,FwdIATMin,0
25,BwdIATTotal,0
26,BwdIATMean,0
27,BwdIATStd,0
28,BwdIATMax,0
29,BwdIATMin,0
30,FwdPSHFlags,0
31,BwdPSHFlags,0
32,FwdURGFlags,0
33,BwdURGFlags,0
34,FwdHeaderLength,0
35,BwdHeaderLength,0
36,FwdPackets/s,0
37,BwdPackets/s,1
38,MinPacketLength,1
39,MaxPacketLength,0
40,PacketLengthMean,0
41,PacketLengthStd,0
42,PacketLengthVariance,0
43,FINFlagCount,1
44,SYNFlagCount,0
45,RSTFlagCount,0
46,PSHFlagCount,0
47,ACKFlagCount,1
48,URGFlagCount,1
49,CWEFlagCount,0
50,ECEFlagCount,0
51,Down/UpRatio,1
52,AveragePacketSize,0
53,AvgFwdSegmentSize,0
54,AvgBwdSegmentSize,0
55,FwdHeaderLength.1,0
56,FwdAvgBytes/Bulk,0
57,FwdAvgPackets/Bulk,0
58,FwdAvgBulkRate,0
59,BwdAvgBytes/Bulk,0
60,BwdAvgPackets/Bulk,0
61,BwdAvgBulkRate,0
62,SubflowFwdPackets,0
63,SubflowFwdBytes,0
64,SubflowBwdPackets,0
65,SubflowBwdBytes,0
66,Init_Win_bytes_forward,1
67,Init_Win_bytes_backward,1
68,act_data_pkt_fwd,0
69,min_seg_size_forward,1
70,ActiveMean,0
71,ActiveStd,0
72,ActiveMax,0
73,ActiveMin,0
74,IdleMean,0
75,IdleStd,0
76,IdleMax,0
77,IdleMin,0
78,Label,0
