,feature,rank
0,duration,1
1,protocol_type,1
2,service,0
3,flag,1
4,src_bytes,0
5,dst_bytes,0
6,land,0
7,wrong_fragment,1
8,urgent,0
9,hot,1
10,num_failed_logins,1
11,logged_in,0
12,num_compromised,0
13,root_shell,1
14,su_attempted,1
15,num_root,0
16,num_file_creations,1
17,num_shells,1
18,num_access_files,0
19,num_outbound_cmds,0
20,is_host_login,0
21,is_guest_login,1
22,count,1
23,srv_count,1
24,serror_rate,0
25,srv_serror_rate,0
26,rerror_rate,0
27,srv_rerror_rate,1
28,same_srv_rate,1
29,diff_srv_rate,1
30,srv_diff_host_rate,1
31,dst_host_count,1
32,dst_host_srv_count,1
33,dst_host_same_srv_rate,0
34,dst_host_diff_srv_rate,1
35,dst_host_same_src_port_rate,1
36,dst_host_srv_diff_host_rate,1
37,dst_host_serror_rate,0
38,dst_host_srv_serror_rate,1
39,dst_host_rerror_rate,0
40,dst_host_srv_rerror_rate,1
41,level,1
42,Label,0
