,feature,rank
0,duration,1
1,protocol_type,0
2,service,1
3,flag,1
4,src_bytes,1
5,dst_bytes,1
6,land,0
7,wrong_fragment,1
8,urgent,0
9,hot,1
10,num_failed_logins,0
11,logged_in,1
12,num_compromised,0
13,root_shell,0
14,su_attempted,0
15,num_root,0
16,num_file_creations,1
17,num_shells,0
18,num_access_files,0
19,num_outbound_cmds,0
20,is_host_login,0
21,is_guest_login,0
22,count,1
23,srv_count,1
24,serror_rate,1
25,srv_serror_rate,1
26,rerror_rate,1
27,srv_rerror_rate,1
28,same_srv_rate,1
29,diff_srv_rate,0
30,srv_diff_host_rate,0
31,dst_host_count,1
32,dst_host_srv_count,1
33,dst_host_same_srv_rate,1
34,dst_host_diff_srv_rate,1
35,dst_host_same_src_port_rate,0
36,dst_host_srv_diff_host_rate,0
37,dst_host_serror_rate,1
38,dst_host_srv_serror_rate,1
39,dst_host_rerror_rate,1
40,dst_host_srv_rerror_rate,1
41,level,1
42,Label,0
