,feature,MutualInformation,RFE,VarianceThreshold,VIF,STEF-Rank
0,FlowID,1,0,1,1,0.825
1,SourceIP,1,1,0,1,0.675
2,SourcePort,1,0,1,1,0.85
3,DestinationIP,1,1,0,1,0.975
4,DestinationPort,1,0,1,1,0.85
5,Protocol,1,1,0,0,0.725
6,FlowDuration,1,1,0,0,0.7
7,TotalFwdPackets,1,1,0,0,0.35
8,TotalBackwardPackets,1,1,0,0,0.425
9,TotalLengthofFwdPackets,1,1,0,0,0.475
10,TotalLengthofBwdPackets,1,1,0,0,0.4
11,FwdPacketLengthMax,1,0,0,0,0.675
12,FwdPacketLengthMin,1,1,0,0,0.7
13,FwdPacketLengthMean,1,1,0,0,0.625
14,FwdPacketLengthStd,1,0,0,0,0.6000000000000001
15,BwdPacketLengthMax,1,0,0,0,0.725
16,BwdPacketLengthMin,1,1,0,1,0.7
17,BwdPacketLengthMean,1,1,0,0,0.6000000000000001
18,BwdPacketLengthStd,0,1,0,0,0.5
19,FlowBytes/s,1,0,0,0,0.65
20,FlowPackets/s,1,1,1,0,0.65
21,FlowIATMean,1,1,0,0,0.725
22,FlowIATStd,1,1,0,0,0.725
23,FlowIATMax,1,1,0,0,0.75
24,FlowIATMin,0,1,0,0,0.35000000000000003
25,FwdIATTotal,1,0,0,0,0.65
26,FwdIATMean,1,1,0,0,0.7
27,FwdIATStd,1,1,0,0,0.725
28,FwdIATMax,1,1,0,0,0.75
29,FwdIATMin,1,1,0,0,0.45
30,BwdIATTotal,1,1,0,0,0.675
31,BwdIATMean,1,0,0,0,0.475
32,BwdIATStd,1,1,0,0,0.475
33,BwdIATMax,1,1,0,0,0.625
34,BwdIATMin,1,0,0,1,0.8
35,FwdPSHFlags,0,1,0,0,0.4
36,BwdPSHFlags,0,0,0,0,0.075
37,FwdURGFlags,0,0,0,0,0.05
38,BwdURGFlags,0,0,0,0,0.025
39,FwdHeaderLength,1,1,0,0,0.6
40,BwdHeaderLength,1,0,0,1,0.675
41,FwdPackets/s,1,1,1,0,0.725
42,BwdPackets/s,1,1,0,0,0.4
43,MinPacketLength,1,0,0,0,0.675
44,MaxPacketLength,1,0,0,0,0.7
45,PacketLengthMean,1,1,0,0,0.725
46,PacketLengthStd,1,1,0,0,0.725
47,PacketLengthVariance,1,1,0,0,0.6000000000000001
48,FINFlagCount,0,0,0,0,0.05
49,SYNFlagCount,0,0,0,0,0.025
50,RSTFlagCount,0,1,0,0,0.425
51,PSHFlagCount,0,0,0,0,0.025
52,ACKFlagCount,0,0,0,1,0.45
53,URGFlagCount,1,0,0,0,0.65
54,CWEFlagCount,0,0,0,1,0.375
55,ECEFlagCount,0,0,0,0,0.05
56,Down/UpRatio,1,1,0,1,0.625
57,AveragePacketSize,1,1,0,0,0.675
58,AvgFwdSegmentSize,1,1,0,0,0.625
59,AvgBwdSegmentSize,1,1,0,0,0.575
60,FwdHeaderLength.1,1,1,0,0,0.6
61,FwdAvgBytes/Bulk,0,0,0,0,0.1
62,FwdAvgPackets/Bulk,0,0,0,0,0.075
63,FwdAvgBulkRate,0,0,0,0,0.05
64,BwdAvgBytes/Bulk,0,0,0,0,0.05
65,BwdAvgPackets/Bulk,0,0,0,0,0.025
66,BwdAvgBulkRate,0,0,0,0,0.0
67,SubflowFwdPackets,1,1,0,0,0.4
68,SubflowFwdBytes,1,1,0,0,0.425
69,SubflowBwdPackets,1,1,0,0,0.35000000000000003
70,SubflowBwdBytes,1,1,0,0,0.5
71,Init_Win_bytes_forward,1,0,0,1,0.875
72,Init_Win_bytes_backward,1,0,0,1,0.775
73,act_data_pkt_fwd,1,1,0,0,0.525
74,min_seg_size_forward,1,0,1,0,0.375
75,ActiveMean,0,1,0,0,0.1
76,ActiveStd,0,0,0,0,0.125
77,ActiveMax,0,1,0,0,0.175
78,ActiveMin,0,1,0,0,0.1
79,IdleMean,0,1,0,0,0.4
80,IdleStd,0,1,0,0,0.225
81,IdleMax,0,1,0,0,0.5
82,IdleMin,0,1,0,0,0.375
83,SimillarHTTP,0,0,0,1,0.425
84,Inbound,1,0,1,1,0.725
