,feature,BackwardElimination,MutualInformation,RFE,SelectKBest,VarianceThreshold,VIF,STEF-Rank
0,FlowID,1,1,0,1,1,1,0.7000000000000001
1,SourceIP,0,1,1,1,0,1,0.6666666666666666
2,SourcePort,1,1,0,0,1,1,0.5499999999999999
3,DestinationIP,0,1,1,0,0,1,0.5499999999999999
4,DestinationPort,1,1,0,1,1,1,0.6333333333333333
5,Protocol,0,1,1,1,0,0,0.6666666666666666
6,FlowDuration,1,1,1,0,1,0,0.6166666666666667
7,TotalFwdPackets,0,1,1,0,0,0,0.3
8,TotalBackwardPackets,0,1,1,0,0,0,0.35000000000000003
9,TotalLengthofFwdPackets,0,1,1,1,0,0,0.6833333333333332
10,TotalLengthofBwdPackets,1,1,1,1,0,0,0.5833333333333334
11,FwdPacketLengthMax,0,1,1,1,0,0,0.7666666666666666
12,FwdPacketLengthMin,0,1,1,1,0,0,0.5333333333333333
13,FwdPacketLengthMean,0,1,1,1,0,0,0.6833333333333335
14,FwdPacketLengthStd,1,0,1,1,0,0,0.5499999999999999
15,BwdPacketLengthMax,1,1,1,1,0,0,0.7666666666666666
16,BwdPacketLengthMin,1,1,1,1,0,0,0.7666666666666666
17,BwdPacketLengthMean,1,1,1,1,0,0,0.6666666666666666
18,BwdPacketLengthStd,1,0,1,1,0,0,0.5666666666666668
19,FlowBytes/s,1,1,1,0,0,1,0.4666666666666667
20,FlowPackets/s,0,1,1,1,1,0,0.7166666666666667
21,FlowIATMean,1,1,0,0,0,0,0.43333333333333335
22,FlowIATStd,1,1,0,0,0,0,0.4000000000000001
23,FlowIATMax,1,1,1,1,1,0,0.5833333333333334
24,FlowIATMin,1,0,1,0,0,1,0.3
25,FwdIATTotal,1,0,1,0,1,0,0.43333333333333335
26,FwdIATMean,0,0,0,0,0,0,0.26666666666666666
27,FwdIATStd,0,0,0,0,0,0,0.26666666666666666
28,FwdIATMax,1,0,1,1,1,0,0.43333333333333335
29,FwdIATMin,0,0,0,0,0,1,0.30000000000000004
30,BwdIATTotal,0,0,0,1,0,0,0.4
31,BwdIATMean,0,0,0,0,0,0,0.2833333333333333
32,BwdIATStd,0,0,0,1,0,0,0.3
33,BwdIATMax,1,0,0,1,0,0,0.4166666666666667
34,BwdIATMin,1,0,0,0,0,1,0.4
35,FwdPSHFlags,1,0,0,0,0,0,0.5499999999999999
36,BwdPSHFlags,1,0,0,0,0,0,0.2333333333333333
37,FwdURGFlags,1,0,0,0,0,0,0.2333333333333333
38,BwdURGFlags,0,0,1,0,0,0,0.15
39,FwdHeaderLength,0,1,1,0,0,0,0.3666666666666667
40,BwdHeaderLength,1,0,1,0,0,0,0.4166666666666667
41,FwdPackets/s,0,1,1,1,1,0,0.7000000000000001
42,BwdPackets/s,1,1,1,0,0,0,0.5833333333333334
43,MinPacketLength,0,1,1,1,0,0,0.6
44,MaxPacketLength,0,1,1,1,0,0,0.7666666666666667
45,PacketLengthMean,0,1,1,1,0,0,0.7333333333333334
46,PacketLengthStd,0,1,1,1,0,0,0.7666666666666666
47,PacketLengthVariance,0,1,1,1,0,0,0.6666666666666666
48,FINFlagCount,1,0,0,0,0,0,0.11666666666666665
49,SYNFlagCount,1,0,1,0,0,1,0.4
50,RSTFlagCount,1,0,0,0,0,0,0.6166666666666667
51,PSHFlagCount,1,0,0,0,0,0,0.05
52,ACKFlagCount,0,1,1,1,0,0,0.7833333333333332
53,URGFlagCount,1,1,1,0,0,0,0.7166666666666667
54,CWEFlagCount,1,0,0,0,0,1,0.5
55,ECEFlagCount,1,0,0,0,0,0,0.05
56,Down/UpRatio,0,0,0,1,0,1,0.4666666666666666
57,AveragePacketSize,0,1,1,1,0,0,0.7000000000000001
58,AvgFwdSegmentSize,0,1,1,1,0,0,0.6666666666666666
59,AvgBwdSegmentSize,0,1,1,1,0,0,0.7166666666666667
60,FwdHeaderLength.1,1,1,1,0,0,0,0.3333333333333333
61,FwdAvgBytes/Bulk,1,0,0,0,0,0,0.13333333333333333
62,FwdAvgPackets/Bulk,1,0,0,0,0,0,0.13333333333333333
63,FwdAvgBulkRate,1,0,0,0,0,0,0.13333333333333333
64,BwdAvgBytes/Bulk,1,0,0,0,0,0,0.1
65,BwdAvgPackets/Bulk,1,0,0,0,0,0,0.1
66,BwdAvgBulkRate,1,0,0,0,0,0,0.08333333333333333
67,SubflowFwdPackets,0,1,1,0,0,0,0.25
68,SubflowFwdBytes,0,1,1,1,0,0,0.6666666666666666
69,SubflowBwdPackets,1,1,1,0,0,0,0.3166666666666667
70,SubflowBwdBytes,1,1,1,1,0,0,0.55
71,Init_Win_bytes_forward,0,1,0,0,0,1,0.4666666666666667
72,Init_Win_bytes_backward,1,1,1,0,0,1,0.5
73,act_data_pkt_fwd,0,1,0,1,0,0,0.6333333333333334
74,min_seg_size_forward,1,1,0,0,0,1,0.30000000000000004
75,ActiveMean,1,0,1,1,0,0,0.15
76,ActiveStd,0,0,1,0,0,0,0.25
77,ActiveMax,1,0,1,0,0,0,0.25
78,ActiveMin,1,0,0,1,0,0,0.3666666666666667
79,IdleMean,0,0,0,1,0,0,0.2833333333333333
80,IdleStd,1,0,0,0,0,0,0.3
81,IdleMax,1,0,1,1,1,0,0.2333333333333333
82,IdleMin,1,0,0,1,0,0,0.35000000000000003
83,SimillarHTTP,1,0,1,0,0,1,0.4166666666666667
84,Inbound,1,1,1,1,0,1,0.65
