,feature,BackwardElimination,MutualInformation,RFE,VarianceThreshold,VIF,STEF-Rank
0,FlowID,1,1,0,1,1,0.95
1,SourceIP,1,1,1,1,1,0.9
2,SourcePort,1,1,0,1,1,1.0
3,DestinationIP,1,1,1,1,1,0.95
4,DestinationPort,0,1,0,1,1,0.85
5,Protocol,1,1,1,1,1,0.725
6,FlowDuration,1,1,1,1,0,0.65
7,TotalFwdPackets,0,1,1,0,0,0.575
8,TotalBackwardPackets,1,1,1,0,0,0.575
9,TotalLengthofFwdPackets,0,1,0,0,0,0.675
10,TotalLengthofBwdPackets,0,1,1,0,0,0.45
11,FwdPacketLengthMax,1,1,0,1,0,0.725
12,FwdPacketLengthMin,1,1,1,1,0,0.7
13,FwdPacketLengthMean,0,1,0,1,0,0.575
14,FwdPacketLengthStd,1,1,1,0,0,0.675
15,BwdPacketLengthMax,1,1,1,1,0,0.675
16,BwdPacketLengthMin,0,1,1,1,1,0.7
17,BwdPacketLengthMean,1,1,1,1,0,0.65
18,BwdPacketLengthStd,1,0,1,1,0,0.6
19,FlowBytes/s,0,1,1,1,1,0.7
20,FlowPackets/s,1,1,1,1,0,0.65
21,FlowIATMean,1,1,1,0,0,0.7
22,FlowIATStd,1,1,1,0,0,0.725
23,FlowIATMax,1,1,1,0,0,0.675
24,FlowIATMin,1,1,1,0,0,0.6
25,FwdIATTotal,1,1,1,1,0,0.7
26,FwdIATMean,1,1,0,0,0,0.725
27,FwdIATStd,1,1,1,0,0,0.725
28,FwdIATMax,0,1,1,0,0,0.675
29,FwdIATMin,1,1,1,0,0,0.575
30,BwdIATTotal,0,1,0,1,0,0.725
31,BwdIATMean,0,1,1,0,0,0.725
32,BwdIATStd,1,1,1,0,0,0.725
33,BwdIATMax,1,1,0,0,0,0.7
34,BwdIATMin,0,1,0,0,1,0.875
35,FwdPSHFlags,0,0,0,1,0,0.525
36,BwdPSHFlags,1,0,0,0,0,0.05
37,FwdURGFlags,0,0,0,0,0,0.025
38,BwdURGFlags,0,0,0,0,0,0.0
39,FwdHeaderLength,0,1,1,0,0,0.325
40,BwdHeaderLength,0,1,0,0,1,0.525
41,FwdPackets/s,1,1,1,1,0,0.65
42,BwdPackets/s,1,1,1,0,0,0.65
43,MinPacketLength,0,1,1,1,0,0.625
44,MaxPacketLength,1,1,1,1,0,0.725
45,PacketLengthMean,1,1,1,1,0,0.75
46,PacketLengthStd,1,1,1,1,0,0.65
47,PacketLengthVariance,1,1,0,1,0,0.7
48,FINFlagCount,1,0,0,0,0,0.025
49,SYNFlagCount,0,0,0,0,1,0.3
50,RSTFlagCount,1,1,0,1,0,0.375
51,PSHFlagCount,0,0,0,0,0,0.025
52,ACKFlagCount,1,0,1,1,1,0.55
53,URGFlagCount,1,1,1,1,1,0.75
54,CWEFlagCount,0,0,0,1,1,0.75
55,ECEFlagCount,0,0,0,0,0,0.025
56,Down/UpRatio,1,1,1,1,1,0.875
57,AveragePacketSize,0,1,1,1,0,0.675
58,AvgFwdSegmentSize,0,1,0,1,0,0.65
59,AvgBwdSegmentSize,0,1,1,1,0,0.575
60,FwdHeaderLength.1,1,1,1,0,0,0.175
61,FwdAvgBytes/Bulk,1,0,0,0,0,0.075
62,FwdAvgPackets/Bulk,1,0,0,0,0,0.05
63,FwdAvgBulkRate,1,0,0,0,0,0.025
64,BwdAvgBytes/Bulk,1,0,0,0,0,0.025
65,BwdAvgPackets/Bulk,1,0,0,0,0,0.0
66,BwdAvgBulkRate,0,0,0,0,0,0.0
67,SubflowFwdPackets,0,1,1,0,0,0.65
68,SubflowFwdBytes,0,1,0,0,0,0.575
69,SubflowBwdPackets,0,1,1,0,0,0.625
70,SubflowBwdBytes,0,1,1,0,0,0.55
71,Init_Win_bytes_forward,1,1,0,1,1,0.85
72,Init_Win_bytes_backward,1,1,1,1,1,1.0
73,act_data_pkt_fwd,1,1,0,0,1,0.65
74,min_seg_size_forward,0,1,0,1,0,0.65
75,ActiveMean,1,0,1,0,0,0.45
76,ActiveStd,1,0,1,0,0,0.425
77,ActiveMax,0,0,0,0,0,0.375
78,ActiveMin,1,0,1,0,0,0.525
79,IdleMean,0,0,1,0,0,0.45
80,IdleStd,0,0,1,0,0,0.35
81,IdleMax,1,0,1,0,0,0.4
82,IdleMin,0,0,1,0,0,0.425
83,SimillarHTTP,0,0,0,0,1,0.575
84,Inbound,1,1,1,1,1,0.75
