,feature,BackwardElimination,MutualInformation,RFE,VarianceThreshold,VIF,STEF-Rank
0,DestinationPort,1,1,1,1,1,1.0
1,FlowDuration,1,1,0,1,0,0.7
2,TotalFwdPackets,1,1,1,0,0,0.425
3,TotalBackwardPackets,1,1,1,0,0,0.525
4,TotalLengthofFwdPackets,0,1,1,0,0,0.6
5,TotalLengthofBwdPackets,0,1,1,0,0,0.475
6,FwdPacketLengthMax,1,1,1,1,0,0.75
7,FwdPacketLengthMin,1,1,1,1,1,0.75
8,FwdPacketLengthMean,1,1,1,1,0,0.6
9,FwdPacketLengthStd,1,1,1,1,0,0.725
10,BwdPacketLengthMax,1,1,1,1,0,0.725
11,BwdPacketLengthMin,0,1,0,0,1,0.95
12,BwdPacketLengthMean,1,1,1,1,0,0.675
13,BwdPacketLengthStd,1,1,1,1,0,0.725
14,FlowBytes/s,1,1,1,0,1,0.9
15,FlowPackets/s,1,1,1,0,0,0.675
16,FlowIATMean,1,1,1,0,0,0.675
17,FlowIATStd,0,1,1,1,0,0.675
18,FlowIATMax,1,1,1,1,0,0.7
19,FlowIATMin,1,1,0,0,0,0.525
20,FwdIATTotal,1,1,0,1,0,0.6
21,FwdIATMean,0,1,1,0,0,0.675
22,FwdIATStd,0,1,1,1,0,0.675
23,FwdIATMax,0,1,0,1,0,0.725
24,FwdIATMin,1,1,1,0,0,0.7
25,BwdIATTotal,1,1,0,1,0,0.65
26,BwdIATMean,0,1,0,0,0,0.625
27,BwdIATStd,1,1,1,1,0,0.75
28,BwdIATMax,0,1,1,1,0,0.725
29,BwdIATMin,1,1,1,0,0,0.725
30,FwdPSHFlags,1,1,1,1,0,0.675
31,BwdPSHFlags,1,0,0,0,0,0.175
32,FwdURGFlags,1,0,0,0,0,0.1
33,BwdURGFlags,1,0,0,0,0,0.025
34,FwdHeaderLength,1,1,1,0,0,0.525
35,BwdHeaderLength,0,1,1,0,0,0.5
36,FwdPackets/s,1,1,1,0,0,0.6
37,BwdPackets/s,0,1,1,0,1,0.55
38,MinPacketLength,1,1,1,0,1,1.0
39,MaxPacketLength,1,1,1,1,0,0.75
40,PacketLengthMean,0,1,0,1,0,0.6
41,PacketLengthStd,0,1,0,1,0,0.625
42,PacketLengthVariance,1,1,1,1,0,0.75
43,FINFlagCount,0,0,0,0,1,0.675
44,SYNFlagCount,1,1,1,1,0,0.65
45,RSTFlagCount,0,0,0,0,0,0.375
46,PSHFlagCount,1,1,0,1,0,0.525
47,ACKFlagCount,1,1,1,1,1,0.7
48,URGFlagCount,1,1,1,1,1,1.0
49,CWEFlagCount,0,0,0,0,0,0.07500000000000001
50,ECEFlagCount,1,0,0,0,0,0.375
51,Down/UpRatio,0,1,0,1,1,0.925
52,AveragePacketSize,1,1,1,1,0,0.725
53,AvgFwdSegmentSize,0,1,1,1,0,0.725
54,AvgBwdSegmentSize,1,1,1,1,0,0.625
55,FwdHeaderLength.1,1,1,1,0,0,0.575
56,FwdAvgBytes/Bulk,1,0,0,0,0,0.3
57,FwdAvgPackets/Bulk,1,0,0,0,0,0.275
58,FwdAvgBulkRate,1,0,0,0,0,0.275
59,BwdAvgBytes/Bulk,1,0,0,0,0,0.175
60,BwdAvgPackets/Bulk,1,0,0,0,0,0.125
61,BwdAvgBulkRate,1,0,0,0,0,0.1
62,SubflowFwdPackets,0,1,1,0,0,0.425
63,SubflowFwdBytes,0,1,1,0,0,0.625
64,SubflowBwdPackets,0,1,1,0,0,0.375
65,SubflowBwdBytes,0,1,1,0,0,0.375
66,Init_Win_bytes_forward,1,1,1,1,1,1.0
67,Init_Win_bytes_backward,1,1,0,0,1,0.9
68,act_data_pkt_fwd,0,1,1,0,0,0.45
69,min_seg_size_forward,0,1,0,1,1,1.0
70,ActiveMean,1,1,1,0,0,0.625
71,ActiveStd,1,1,0,0,0,0.4
72,ActiveMax,0,1,0,0,0,0.575
73,ActiveMin,1,1,1,0,0,0.6
74,IdleMean,0,1,1,1,0,0.625
75,IdleStd,0,1,1,1,0,0.625
76,IdleMax,0,1,1,1,0,0.6
77,IdleMin,1,1,1,1,0,0.675
