,feature,BackwardElimination,MutualInformation,RFE,SelectKBest,VarianceThreshold,VIF,STEF-Rank
0,length_longest_word,0,1,0,1,1,1,0.6666666666666666
1,FQDN_count,1,1,0,1,1,1,0.8333333333333334
2,sld_vec,0,1,0,0,0,1,0.3333333333333333
3,private_192,0,0,1,1,1,1,0.7000000000000001
4,lower,1,1,0,1,1,1,0.8333333333333334
5,multicast,1,0,1,0,1,1,0.6666666666666666
6,entropy,0,1,0,0,1,1,0.5
7,labels_max,1,1,0,0,1,1,0.6
8,admin_multicast,0,0,1,0,0,1,0.3333333333333333
9,private_172,0,0,1,0,0,1,0.3333333333333333
