,dataset,method,num_features,mean_cv_f1,test_f1,auc_pr
0,portmap_2018,AllFeatures,78.0,0.9889949164064282,0.9898532342815727,0.9997042948559214
1,portmap_2018,BackwardElimination,50.0,0.9863322209495544,0.9874407858221576,0.9996189302342988
2,portmap_2018,MutualInformation,65.0,0.988518169708463,0.9895611005471691,0.9997197833250386
3,portmap_2018,RFE,50.0,0.9857601583977706,0.9870076251177313,0.999459552114558
4,portmap_2018,SelectKBest,40.0,0.985543864728389,0.987199008955532,0.9995733787639723
5,portmap_2018,VarianceThreshold,36.0,0.9882385787695966,0.989292641924221,0.9996900654370622
6,portmap_2018,VIF,13.0,0.9658791227246775,0.9704866402519556,0.9711840454288867
7,portmap_2018,STEF-Rank_0.1,73.0,0.9889949164064282,0.9898532342815727,0.999704310561623
8,portmap_2018,STEF-Rank_0.2,69.0,0.9889949164064282,0.9898532342815727,0.9997042921020405
9,portmap_2018,STEF-Rank_0.25,68.0,0.9889949164064282,0.9898532342815727,0.9997042009683454
10,portmap_2018,STEF-Rank_0.3,68.0,0.9889949164064282,0.9898532342815727,0.9997042009683454
11,portmap_2018,STEF-Rank_0.4,66.0,0.9890076116924567,0.9898660454280722,0.9997152378467822
12,portmap_2018,STEF-Rank_0.5,57.0,0.9889822051365655,0.9898404234666806,0.9997110405632343
13,portmap_2018,STEF-Rank_0.6,46.0,0.9889250458621393,0.9897507570463545,0.9996903487250124
14,portmap_2018,STEF-Rank_0.7,34.0,0.9849272622047816,0.986381925100588,0.9988614027879027
15,portmap_2018,STEF-Rank_0.75,25.0,0.9843100922042769,0.9858229153241398,0.9987734788291832
16,portmap_2018,STEF-Rank_0.8,14.0,0.9583409010312269,0.9645708519896574,0.9878172472398189
17,portmap_2018,STEF-Rank_0.9,2.0,0.8931987781629779,0.9150333050310329,0.5946130045008237
0,netbios_2019,AllFeatures,85.0,0.9998724030733823,0.9999666616659165,0.999999996110273
1,netbios_2019,BackwardElimination,50.0,0.9998228717902171,0.9999583274297192,0.9999999588845965
2,netbios_2019,MutualInformation,57.0,0.9998652808977694,0.9999666616659165,0.9999999966659582
3,netbios_2019,RFE,50.0,0.9996254843777983,0.9998749760370738,0.9999999616573649
4,netbios_2019,SelectKBest,40.0,0.9996949772979242,0.9999083218735677,0.99999947538015
5,netbios_2019,VarianceThreshold,7.0,0.9982527542851155,0.9992754045657841,0.999967437028711
6,netbios_2019,VIF,15.0,0.9994615102372938,0.9998166636110601,0.9999653410082392
7,netbios_2019,STEF-Rank_0.1,74.0,0.9998724030733823,0.9999666616659165,0.999999996110273
8,netbios_2019,STEF-Rank_0.2,72.0,0.9998724030733823,0.9999666616659165,0.999999996110273
9,netbios_2019,STEF-Rank_0.25,72.0,0.9998724030733823,0.9999666616659165,0.999999996110273
10,netbios_2019,STEF-Rank_0.3,71.0,0.9998724030733823,0.9999666616659165,0.999999996110273
11,netbios_2019,STEF-Rank_0.4,67.0,0.9998724030733823,0.9999666616659165,0.999999996110273
12,netbios_2019,STEF-Rank_0.5,54.0,0.9998652808977694,0.9999583274297192,0.9999999969437614
13,netbios_2019,STEF-Rank_0.6,38.0,0.9998438078198204,0.999966662777324,0.9999999941645756
14,netbios_2019,STEF-Rank_0.7,15.0,0.9945975321061619,0.9976548076443291,0.9988873913414092
15,netbios_2019,STEF-Rank_0.75,9.0,0.990048758477611,0.9962380726973766,0.999970332786715
16,netbios_2019,STEF-Rank_0.8,3.0,0.9881776165338293,0.9958169413873811,0.9994587413820676
17,netbios_2019,STEF-Rank_0.9,,nan,nan,nan
0,syn_2019,AllFeatures,85.0,0.999813944172834,0.9998667199786752,0.999999753495535
1,syn_2019,BackwardElimination,50.0,0.9997118772435385,0.9997834380049644,0.9999961701741098
2,syn_2019,MutualInformation,45.0,0.9997407519835436,0.9998500624739691,0.9999989746682963
3,syn_2019,RFE,50.0,0.9997574812330224,0.9997834091401343,0.9999998502672842
4,syn_2019,SelectKBest,40.0,0.9996699890983907,0.9997334399573504,0.9999998002287683
5,syn_2019,VarianceThreshold,10.0,0.9948140904757959,0.998403140490369,0.9996263813372049
6,syn_2019,VIF,17.0,0.999637780986809,0.9997501374244165,0.9999998568380958
7,syn_2019,STEF-Rank_0.1,82.0,0.999813944172834,0.9998667199786752,0.999999753495535
8,syn_2019,STEF-Rank_0.2,74.0,0.999813944172834,0.9998667199786752,0.999999753495535
9,syn_2019,STEF-Rank_0.25,71.0,0.999813944172834,0.9998667199786752,0.9999997568382877
10,syn_2019,STEF-Rank_0.3,64.0,0.999813944172834,0.9998667199786752,0.9999997590616702
11,syn_2019,STEF-Rank_0.4,52.0,0.999813944172834,0.9998667199786752,0.9999998102868622
12,syn_2019,STEF-Rank_0.5,39.0,0.9998288285519733,0.9998500624739691,0.9999998102994311
13,syn_2019,STEF-Rank_0.6,27.0,0.9997277372780096,0.9997834163570631,0.9999998148277817
14,syn_2019,STEF-Rank_0.7,13.0,0.9995966955330404,0.999800093289798,0.9999914666539219
15,syn_2019,STEF-Rank_0.75,6.0,0.9992457231661985,0.9995667677541906,0.999932430075907
16,syn_2019,STEF-Rank_0.8,,nan,nan,nan
17,syn_2019,STEF-Rank_0.9,,nan,nan,nan
0,ldap_2019,AllFeatures,85.0,0.9999443226069366,0.999916629149784,0.9999999608372636
1,ldap_2019,BackwardElimination,50.0,0.9999234360863805,0.9999082928293329,0.9999999336065155
2,ldap_2019,MutualInformation,47.0,0.999937350901918,0.999916629149784,0.9999999574841759
3,ldap_2019,RFE,50.0,0.9998054695797137,0.9998332443970118,0.9999995596788129
4,ldap_2019,SelectKBest,40.0,0.9998330466828579,0.9999333044319204,0.9999991145156227
5,ldap_2019,VarianceThreshold,17.0,0.9998886734141598,0.999916629149784,0.9999998457017705
6,ldap_2019,VIF,18.0,0.9992280035216827,0.9997499416530524,0.9999996277609604
7,ldap_2019,STEF-Rank_0.1,75.0,0.9999443226069366,0.999916629149784,0.9999999608372636
8,ldap_2019,STEF-Rank_0.2,73.0,0.9999443226069366,0.999916629149784,0.9999999608372636
9,ldap_2019,STEF-Rank_0.25,73.0,0.9999443226069366,0.999916629149784,0.9999999608372636
10,ldap_2019,STEF-Rank_0.3,73.0,0.9999443226069366,0.999916629149784,0.9999999608372636
11,ldap_2019,STEF-Rank_0.4,70.0,0.9999443226069366,0.999916629149784,0.9999999611145027
12,ldap_2019,STEF-Rank_0.5,53.0,0.9999373708950856,0.999916629149784,0.9999999591640524
13,ldap_2019,STEF-Rank_0.6,44.0,0.9998400760683717,0.9999082913001792,0.9999994693231214
14,ldap_2019,STEF-Rank_0.7,30.0,0.9997082132253998,0.9997832104859421,0.9999997605594144
15,ldap_2019,STEF-Rank_0.75,22.0,0.9996314505054711,0.9997665382627112,0.9999993833242584
16,ldap_2019,STEF-Rank_0.8,4.0,0.9982638466932947,0.9991668055324112,0.5000910415472438
17,ldap_2019,STEF-Rank_0.9,1.0,0.9980623888777442,0.9990585922204728,0.4998827619704674
0,udp_2019,AllFeatures,85.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
1,udp_2019,BackwardElimination,50.0,0.9983913821042844,0.9961432506887052,0.9999400475082003
2,udp_2019,MutualInformation,59.0,0.9983913821042844,0.9961432506887052,0.9999348093984537
3,udp_2019,RFE,50.0,0.9983913821042844,0.9939527212754261,0.9999483146942966
4,udp_2019,SelectKBest,40.0,0.9986212550065643,0.9961432506887052,0.9998685081115286
5,udp_2019,VarianceThreshold,37.0,0.9983913821042844,0.9961432506887052,0.9998712015602631
6,udp_2019,VIF,20.0,0.9979321263226906,0.9939527212754261,0.9999638517999099
7,udp_2019,STEF-Rank_0.1,73.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
8,udp_2019,STEF-Rank_0.2,73.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
9,udp_2019,STEF-Rank_0.25,72.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
10,udp_2019,STEF-Rank_0.3,71.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
11,udp_2019,STEF-Rank_0.4,70.0,0.9983913821042844,0.9961432506887052,0.9999001651709492
12,udp_2019,STEF-Rank_0.5,63.0,0.9983913821042844,0.9955947136563877,0.9999013446986319
13,udp_2019,STEF-Rank_0.6,45.0,0.9983913821042844,0.9961432506887052,0.9999555175027287
14,udp_2019,STEF-Rank_0.7,29.0,0.997472341010487,0.9961432506887052,0.99799631844843
15,udp_2019,STEF-Rank_0.75,23.0,0.9972417426687856,0.9961432506887052,0.9988881272005066
16,udp_2019,STEF-Rank_0.8,4.0,0.9744565343666126,0.9694369973190349,0.9571834861603967
17,udp_2019,STEF-Rank_0.9,,nan,nan,nan
