,dataset,method,num_features,mean_cv_f1,test_f1,auc_pr
0,csi5388_assignment2,AllFeatures,42.0,0.8771789408633248,0.7168120037024408,0.9132716441899009
1,csi5388_assignment2,BackwardElimination,25.0,0.9104657364497282,0.7703066672966972,0.9442197181416536
2,csi5388_assignment2,MutualInformation,30.0,0.8768808041635104,0.7218321793444051,0.9107201906437419
3,csi5388_assignment2,RFE,25.0,0.9680076459417032,0.9195658701900391,0.9888333321716747
4,csi5388_assignment2,SelectKBest,25.0,0.8748403079100268,0.7168745128604833,0.9131501958011552
5,csi5388_assignment2,VarianceThreshold,34.0,0.8769228021661382,0.7167292042298133,0.9132871548257102
6,csi5388_assignment2,VIF,30.0,0.875669766185105,0.716887417218543,0.9132010855184015
7,csi5388_assignment2,STEF-Rank_0.1,41.0,0.8768769492926992,0.7169094363521217,0.9133410472858448
8,csi5388_assignment2,STEF-Rank_0.2,38.0,0.876836862550934,0.7169094363521217,0.9133400344735396
9,csi5388_assignment2,STEF-Rank_0.25,38.0,0.876836862550934,0.7169094363521217,0.9133400344735396
10,csi5388_assignment2,STEF-Rank_0.3,37.0,0.876957048737119,0.7167292042298133,0.9132952447937859
11,csi5388_assignment2,STEF-Rank_0.4,37.0,0.876957048737119,0.7167292042298133,0.9132952447937859
12,csi5388_assignment2,STEF-Rank_0.5,34.0,0.8769228021661382,0.7167292042298133,0.9132871548257102
13,csi5388_assignment2,STEF-Rank_0.6,30.0,0.8761912563274571,0.7166593577936949,0.9132466167979592
14,csi5388_assignment2,STEF-Rank_0.7,27.0,0.8733700805878394,0.7172071282500732,0.9132921633459812
15,csi5388_assignment2,STEF-Rank_0.75,20.0,0.9430721477558931,0.8264993026499303,0.9662132768579712
16,csi5388_assignment2,STEF-Rank_0.8,13.0,0.9448394988939501,0.8974919614147909,0.985444180510127
17,csi5388_assignment2,STEF-Rank_0.9,6.0,0.9434577073058457,0.8688587676914525,0.974724617852734
0,csi5388_assignment3,AllFeatures,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
1,csi5388_assignment3,BackwardElimination,4.0,0.8110304419734101,0.8569283209010523,0.7573844849551815
2,csi5388_assignment3,MutualInformation,6.0,0.8076291408746329,0.8532463917935669,0.7597181450576029
3,csi5388_assignment3,RFE,4.0,0.7965828911609192,0.8405888133567021,0.75105190782189
4,csi5388_assignment3,SelectKBest,4.0,0.8110304419734101,0.8569283209010523,0.7605218077225913
5,csi5388_assignment3,VarianceThreshold,7.0,0.8110235276888759,0.8569113884031339,0.7579494398844048
6,csi5388_assignment3,VIF,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
7,csi5388_assignment3,STEF-Rank_0.1,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
8,csi5388_assignment3,STEF-Rank_0.2,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
9,csi5388_assignment3,STEF-Rank_0.25,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
10,csi5388_assignment3,STEF-Rank_0.3,10.0,0.8109471384742616,0.8569113884031339,0.7576267613456136
11,csi5388_assignment3,STEF-Rank_0.4,7.0,0.8110235276888759,0.8569113884031339,0.7579494398844048
12,csi5388_assignment3,STEF-Rank_0.5,7.0,0.8110235276888759,0.8569113884031339,0.7579494398844048
13,csi5388_assignment3,STEF-Rank_0.6,6.0,0.8110304419734101,0.8569283209010523,0.7600050096985534
14,csi5388_assignment3,STEF-Rank_0.7,3.0,0.8109091424002873,0.8568013434752543,0.7611373493068875
15,csi5388_assignment3,STEF-Rank_0.75,2.0,0.8109091424002873,0.8568013434752543,0.760923304375786
16,csi5388_assignment3,STEF-Rank_0.8,2.0,0.8109091424002873,0.8568013434752543,0.760923304375786
17,csi5388_assignment3,STEF-Rank_0.9,,nan,nan,nan
