,feature,rank
0,FlowID,0.4
1,SourceIP,0.9
2,SourcePort,0.8
3,DestinationIP,0.8
4,DestinationPort,0.2
5,Protocol,0.9
6,FlowDuration,0.7
7,TotalFwdPackets,0.6
8,TotalBackwardPackets,0.6
9,TotalLengthofFwdPackets,0.8
10,TotalLengthofBwdPackets,0.4
11,FwdPacketLengthMax,0.9
12,FwdPacketLengthMin,0.6
13,FwdPacketLengthMean,0.8
14,FwdPacketLengthStd,0.8
15,BwdPacketLengthMax,0.7
16,BwdPacketLengthMin,0.7
17,BwdPacketLengthMean,0.6
18,BwdPacketLengthStd,0.7
19,FlowBytes/s,0.9
20,FlowPackets/s,0.8
21,FlowIATMean,0.7
22,FlowIATStd,0.8
23,FlowIATMax,0.7
24,FlowIATMin,0.6
25,FwdIATTotal,0.8
26,FwdIATMean,0.8
27,FwdIATStd,0.8
28,FwdIATMax,0.7
29,FwdIATMin,0.5
30,BwdIATTotal,0.3
31,BwdIATMean,0.7
32,BwdIATStd,0.6
33,BwdIATMax,0.7
34,BwdIATMin,0.7
35,FwdPSHFlags,0.4
36,BwdPSHFlags,0.5
37,FwdURGFlags,0.3
38,BwdURGFlags,0.3
39,FwdHeaderLength,0.3
40,BwdHeaderLength,0.2
41,FwdPackets/s,0.6
42,BwdPackets/s,0.6
43,MinPacketLength,0.4
44,MaxPacketLength,0.6
45,PacketLengthMean,0.4
46,PacketLengthStd,0.6
47,PacketLengthVariance,0.7
48,FINFlagCount,0.3
49,SYNFlagCount,0.6
50,RSTFlagCount,0.3
51,PSHFlagCount,0.4
52,ACKFlagCount,0.6
53,URGFlagCount,0.5
54,CWEFlagCount,0.6
55,ECEFlagCount,0.4
56,Down/UpRatio,0.8
57,AveragePacketSize,0.7
58,AvgFwdSegmentSize,0.6
59,AvgBwdSegmentSize,0.7
60,FwdHeaderLength.1,0.3
61,FwdAvgBytes/Bulk,0.6
62,FwdAvgPackets/Bulk,0.5
63,FwdAvgBulkRate,0.5
64,BwdAvgBytes/Bulk,0.4
65,BwdAvgPackets/Bulk,0.4
66,BwdAvgBulkRate,0.3
67,SubflowFwdPackets,0.3
68,SubflowFwdBytes,0.2
69,SubflowBwdPackets,0.6
70,SubflowBwdBytes,0.8
71,Init_Win_bytes_forward,0.7
72,Init_Win_bytes_backward,0.5
73,act_data_pkt_fwd,0.6
74,min_seg_size_forward,0.0
75,ActiveMean,0.7
76,ActiveStd,0.8
77,ActiveMax,0.7
78,ActiveMin,0.7
79,IdleMean,0.4
80,IdleStd,0.7
81,IdleMax,0.7
82,IdleMin,1.0
83,SimillarHTTP,0.7
84,Inbound,0.5
85,Label,0.0
