,feature,rank
0,FlowID,0.0
1,SourceIP,1.0
2,SourcePort,0.7
3,DestinationIP,0.4
4,DestinationPort,0.0
5,Protocol,1.0
6,FlowDuration,0.7
7,TotalFwdPackets,1.0
8,TotalBackwardPackets,0.9
9,TotalLengthofFwdPackets,1.0
10,TotalLengthofBwdPackets,1.0
11,FwdPacketLengthMax,0.6
12,FwdPacketLengthMin,1.0
13,FwdPacketLengthMean,0.9
14,FwdPacketLengthStd,0.8
15,BwdPacketLengthMax,0.9
16,BwdPacketLengthMin,0.9
17,BwdPacketLengthMean,1.0
18,BwdPacketLengthStd,0.7
19,FlowBytes/s,0.2
20,FlowPackets/s,1.0
21,FlowIATMean,0.9
22,FlowIATStd,0.8
23,FlowIATMax,1.0
24,FlowIATMin,0.8
25,FwdIATTotal,0.8
26,FwdIATMean,1.0
27,FwdIATStd,0.9
28,FwdIATMax,0.9
29,FwdIATMin,1.0
30,BwdIATTotal,0.5
31,BwdIATMean,0.7
32,BwdIATStd,0.9
33,BwdIATMax,0.7
34,BwdIATMin,0.3
35,FwdPSHFlags,0.3
36,BwdPSHFlags,0.2
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.3
40,BwdHeaderLength,0.5
41,FwdPackets/s,1.0
42,BwdPackets/s,1.0
43,MinPacketLength,1.0
44,MaxPacketLength,0.9
45,PacketLengthMean,0.5
46,PacketLengthStd,0.6
47,PacketLengthVariance,0.6
48,FINFlagCount,0.0
49,SYNFlagCount,0.4
50,RSTFlagCount,0.3
51,PSHFlagCount,0.1
52,ACKFlagCount,0.2
53,URGFlagCount,0.1
54,CWEFlagCount,0.0
55,ECEFlagCount,0.0
56,Down/UpRatio,0.2
57,AveragePacketSize,0.4
58,AvgFwdSegmentSize,0.9
59,AvgBwdSegmentSize,0.9
60,FwdHeaderLength.1,0.3
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,1.0
68,SubflowFwdBytes,1.0
69,SubflowBwdPackets,0.9
70,SubflowBwdBytes,1.0
71,Init_Win_bytes_forward,0.0
72,Init_Win_bytes_backward,0.1
73,act_data_pkt_fwd,1.0
74,min_seg_size_forward,0.0
75,ActiveMean,1.0
76,ActiveStd,0.8
77,ActiveMax,0.8
78,ActiveMin,0.9
79,IdleMean,1.0
80,IdleStd,0.9
81,IdleMax,0.8
82,IdleMin,0.9
83,SimillarHTTP,0.1
84,Inbound,0.2
85,Label,0.0
