,feature,rank
0,FlowID,0.3
1,SourceIP,0.7
2,SourcePort,0.4
3,DestinationIP,0.9
4,DestinationPort,0.4
5,Protocol,0.9
6,FlowDuration,0.8
7,TotalFwdPackets,0.4
8,TotalBackwardPackets,0.6
9,TotalLengthofFwdPackets,0.6
10,TotalLengthofBwdPackets,0.4
11,FwdPacketLengthMax,0.7
12,FwdPacketLengthMin,0.8
13,FwdPacketLengthMean,0.5
14,FwdPacketLengthStd,0.6
15,BwdPacketLengthMax,0.9
16,BwdPacketLengthMin,0.8
17,BwdPacketLengthMean,0.6
18,BwdPacketLengthStd,0.9
19,FlowBytes/s,0.6
20,FlowPackets/s,0.6
21,FlowIATMean,0.9
22,FlowIATStd,0.9
23,FlowIATMax,1.0
24,FlowIATMin,0.9
25,FwdIATTotal,0.6
26,FwdIATMean,0.8
27,FwdIATStd,0.9
28,FwdIATMax,1.0
29,FwdIATMin,0.8
30,BwdIATTotal,0.7
31,BwdIATMean,0.9
32,BwdIATStd,0.8
33,BwdIATMax,0.6
34,BwdIATMin,0.7
35,FwdPSHFlags,0.5
36,BwdPSHFlags,0.3
37,FwdURGFlags,0.2
38,BwdURGFlags,0.1
39,FwdHeaderLength,0.4
40,BwdHeaderLength,0.1
41,FwdPackets/s,0.9
42,BwdPackets/s,0.6
43,MinPacketLength,0.7
44,MaxPacketLength,0.8
45,PacketLengthMean,0.9
46,PacketLengthStd,0.9
47,PacketLengthVariance,0.6
48,FINFlagCount,0.2
49,SYNFlagCount,0.1
50,RSTFlagCount,0.7
51,PSHFlagCount,0.1
52,ACKFlagCount,0.7
53,URGFlagCount,0.6
54,CWEFlagCount,0.5
55,ECEFlagCount,0.2
56,Down/UpRatio,0.5
57,AveragePacketSize,0.7
58,AvgFwdSegmentSize,0.5
59,AvgBwdSegmentSize,0.5
60,FwdHeaderLength.1,0.4
61,FwdAvgBytes/Bulk,0.4
62,FwdAvgPackets/Bulk,0.3
63,FwdAvgBulkRate,0.2
64,BwdAvgBytes/Bulk,0.2
65,BwdAvgPackets/Bulk,0.1
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.6
68,SubflowFwdBytes,0.4
69,SubflowBwdPackets,0.3
70,SubflowBwdBytes,0.8
71,Init_Win_bytes_forward,0.8
72,Init_Win_bytes_backward,0.7
73,act_data_pkt_fwd,0.9
74,min_seg_size_forward,0.5
75,ActiveMean,0.3
76,ActiveStd,0.5
77,ActiveMax,0.6
78,ActiveMin,0.3
79,IdleMean,0.6
80,IdleStd,0.8
81,IdleMax,1.0
82,IdleMin,0.5
83,SimillarHTTP,0.7
84,Inbound,0.9
85,Label,0.0
