,feature,rank
0,Unnamed: 0,1.0
1,FlowID,1.0
2,SourceIP,1.0
3,SourcePort,1.0
4,DestinationIP,1.0
5,DestinationPort,1.0
6,Protocol,1.0
7,FlowDuration,1.0
8,TotalFwdPackets,1.0
9,TotalBackwardPackets,1.0
10,TotalLengthofFwdPackets,1.0
11,TotalLengthofBwdPackets,1.0
12,FwdPacketLengthMax,1.0
13,FwdPacketLengthMin,1.0
14,FwdPacketLengthMean,1.0
15,FwdPacketLengthStd,1.0
16,BwdPacketLengthMax,1.0
17,BwdPacketLengthMin,1.0
18,BwdPacketLengthMean,1.0
19,BwdPacketLengthStd,1.0
20,FlowBytes/s,1.0
21,FlowPackets/s,1.0
22,FlowIATMean,1.0
23,FlowIATStd,1.0
24,FlowIATMax,1.0
25,FlowIATMin,1.0
26,FwdIATTotal,1.0
27,FwdIATMean,1.0
28,FwdIATStd,1.0
29,FwdIATMax,1.0
30,FwdIATMin,1.0
31,BwdIATTotal,1.0
32,BwdIATMean,1.0
33,BwdIATStd,1.0
34,BwdIATMax,1.0
35,BwdIATMin,1.0
36,FwdPSHFlags,1.0
37,BwdPSHFlags,0.2
38,FwdURGFlags,0.1
39,BwdURGFlags,0.2
40,FwdHeaderLength,1.0
41,BwdHeaderLength,1.0
42,FwdPackets/s,1.0
43,BwdPackets/s,1.0
44,MinPacketLength,1.0
45,MaxPacketLength,1.0
46,PacketLengthMean,1.0
47,PacketLengthStd,1.0
48,PacketLengthVariance,1.0
49,FINFlagCount,0.3
50,SYNFlagCount,0.4
51,RSTFlagCount,1.0
52,PSHFlagCount,0.2
53,ACKFlagCount,1.0
54,URGFlagCount,1.0
55,CWEFlagCount,1.0
56,ECEFlagCount,0.2
57,Down/UpRatio,1.0
58,AveragePacketSize,1.0
59,AvgFwdSegmentSize,1.0
60,AvgBwdSegmentSize,1.0
61,FwdHeaderLength.1,1.0
62,FwdAvgBytes/Bulk,0.5
63,FwdAvgPackets/Bulk,0.4
64,FwdAvgBulkRate,0.5
65,BwdAvgBytes/Bulk,0.1
66,BwdAvgPackets/Bulk,0.5
67,BwdAvgBulkRate,0.2
68,SubflowFwdPackets,1.0
69,SubflowFwdBytes,1.0
70,SubflowBwdPackets,1.0
71,SubflowBwdBytes,1.0
72,Init_Win_bytes_forward,1.0
73,Init_Win_bytes_backward,1.0
74,act_data_pkt_fwd,1.0
75,min_seg_size_forward,1.0
76,ActiveMean,1.0
77,ActiveStd,1.0
78,ActiveMax,1.0
79,ActiveMin,1.0
80,IdleMean,1.0
81,IdleStd,1.0
82,IdleMax,1.0
83,IdleMin,1.0
84,SimillarHTTP,0.7
85,Inbound,1.0
86,Label,0.0
