,feature,rank
0,FlowID,0.0
1,SourceIP,0.0
2,SourcePort,0.0
3,DestinationIP,0.0
4,DestinationPort,0.0
5,Protocol,0.2
6,FlowDuration,1.0
7,TotalFwdPackets,1.0
8,TotalBackwardPackets,1.0
9,TotalLengthofFwdPackets,1.0
10,TotalLengthofBwdPackets,1.0
11,FwdPacketLengthMax,0.6
12,FwdPacketLengthMin,0.9
13,FwdPacketLengthMean,1.0
14,FwdPacketLengthStd,0.7
15,BwdPacketLengthMax,0.4
16,BwdPacketLengthMin,0.3
17,BwdPacketLengthMean,1.0
18,BwdPacketLengthStd,0.3
19,FlowBytes/s,0.0
20,FlowPackets/s,1.0
21,FlowIATMean,0.9
22,FlowIATStd,1.0
23,FlowIATMax,1.0
24,FlowIATMin,1.0
25,FwdIATTotal,1.0
26,FwdIATMean,0.9
27,FwdIATStd,1.0
28,FwdIATMax,1.0
29,FwdIATMin,0.9
30,BwdIATTotal,0.9
31,BwdIATMean,0.9
32,BwdIATStd,0.9
33,BwdIATMax,1.0
34,BwdIATMin,0.0
35,FwdPSHFlags,1.0
36,BwdPSHFlags,0.4
37,FwdURGFlags,0.4
38,BwdURGFlags,0.2
39,FwdHeaderLength,0.9
40,BwdHeaderLength,0.2
41,FwdPackets/s,1.0
42,BwdPackets/s,1.0
43,MinPacketLength,0.9
44,MaxPacketLength,0.4
45,PacketLengthMean,0.7
46,PacketLengthStd,0.3
47,PacketLengthVariance,0.2
48,FINFlagCount,0.1
49,SYNFlagCount,0.1
50,RSTFlagCount,1.0
51,PSHFlagCount,0.1
52,ACKFlagCount,0.2
53,URGFlagCount,0.2
54,CWEFlagCount,0.0
55,ECEFlagCount,0.0
56,Down/UpRatio,0.0
57,AveragePacketSize,0.4
58,AvgFwdSegmentSize,1.0
59,AvgBwdSegmentSize,1.0
60,FwdHeaderLength.1,0.9
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,1.0
68,SubflowFwdBytes,1.0
69,SubflowBwdPackets,1.0
70,SubflowBwdBytes,1.0
71,Init_Win_bytes_forward,0.0
72,Init_Win_bytes_backward,0.0
73,act_data_pkt_fwd,0.8
74,min_seg_size_forward,0.7
75,ActiveMean,1.0
76,ActiveStd,1.0
77,ActiveMax,1.0
78,ActiveMin,1.0
79,IdleMean,1.0
80,IdleStd,1.0
81,IdleMax,1.0
82,IdleMin,0.9
83,SimillarHTTP,0.2
84,Inbound,0.0
85,Label,0.0
