,feature,rank
0,Unnamed: 0,1.0
1,DestinationPort,1.0
2,FlowDuration,1.0
3,TotalFwdPackets,1.0
4,TotalBackwardPackets,1.0
5,TotalLengthofFwdPackets,1.0
6,TotalLengthofBwdPackets,1.0
7,FwdPacketLengthMax,1.0
8,FwdPacketLengthMin,1.0
9,FwdPacketLengthMean,1.0
10,FwdPacketLengthStd,1.0
11,BwdPacketLengthMax,1.0
12,BwdPacketLengthMin,1.0
13,BwdPacketLengthMean,1.0
14,BwdPacketLengthStd,1.0
15,FlowBytes/s,1.0
16,FlowPackets/s,1.0
17,FlowIATMean,1.0
18,FlowIATStd,1.0
19,FlowIATMax,1.0
20,FlowIATMin,1.0
21,FwdIATTotal,1.0
22,FwdIATMean,1.0
23,FwdIATStd,1.0
24,FwdIATMax,1.0
25,FwdIATMin,1.0
26,BwdIATTotal,1.0
27,BwdIATMean,1.0
28,BwdIATStd,1.0
29,BwdIATMax,1.0
30,BwdIATMin,1.0
31,FwdPSHFlags,1.0
32,BwdPSHFlags,0.4
33,FwdURGFlags,0.5
34,BwdURGFlags,0.7
35,FwdHeaderLength,1.0
36,BwdHeaderLength,1.0
37,FwdPackets/s,1.0
38,BwdPackets/s,1.0
39,MinPacketLength,1.0
40,MaxPacketLength,1.0
41,PacketLengthMean,1.0
42,PacketLengthStd,1.0
43,PacketLengthVariance,1.0
44,FINFlagCount,0.7
45,SYNFlagCount,1.0
46,RSTFlagCount,0.5
47,PSHFlagCount,1.0
48,ACKFlagCount,1.0
49,URGFlagCount,1.0
50,CWEFlagCount,0.6
51,ECEFlagCount,0.5
52,Down/UpRatio,1.0
53,AveragePacketSize,1.0
54,AvgFwdSegmentSize,1.0
55,AvgBwdSegmentSize,1.0
56,FwdHeaderLength.1,1.0
57,FwdAvgBytes/Bulk,0.6
58,FwdAvgPackets/Bulk,0.5
59,FwdAvgBulkRate,0.5
60,BwdAvgBytes/Bulk,0.3
61,BwdAvgPackets/Bulk,0.4
62,BwdAvgBulkRate,0.7
63,SubflowFwdPackets,1.0
64,SubflowFwdBytes,1.0
65,SubflowBwdPackets,1.0
66,SubflowBwdBytes,1.0
67,Init_Win_bytes_forward,1.0
68,Init_Win_bytes_backward,1.0
69,act_data_pkt_fwd,1.0
70,min_seg_size_forward,1.0
71,ActiveMean,1.0
72,ActiveStd,1.0
73,ActiveMax,1.0
74,ActiveMin,1.0
75,IdleMean,1.0
76,IdleStd,1.0
77,IdleMax,1.0
78,IdleMin,1.0
79,Label,0.0
