,feature,rank
0,FlowID,1.0
1,SourceIP,1.0
2,SourcePort,1.0
3,DestinationIP,1.0
4,DestinationPort,1.0
5,Protocol,1.0
6,FlowDuration,1.0
7,TotalFwdPackets,0.0
8,TotalBackwardPackets,0.1
9,TotalLengthofFwdPackets,0.3
10,TotalLengthofBwdPackets,0.1
11,FwdPacketLengthMax,0.7
12,FwdPacketLengthMin,0.3
13,FwdPacketLengthMean,0.4
14,FwdPacketLengthStd,0.4
15,BwdPacketLengthMax,0.8
16,BwdPacketLengthMin,1.0
17,BwdPacketLengthMean,0.4
18,BwdPacketLengthStd,0.8
19,FlowBytes/s,0.1
20,FlowPackets/s,1.0
21,FlowIATMean,1.0
22,FlowIATStd,1.0
23,FlowIATMax,1.0
24,FlowIATMin,0.5
25,FwdIATTotal,1.0
26,FwdIATMean,1.0
27,FwdIATStd,1.0
28,FwdIATMax,1.0
29,FwdIATMin,0.1
30,BwdIATTotal,1.0
31,BwdIATMean,1.0
32,BwdIATStd,1.0
33,BwdIATMax,1.0
34,BwdIATMin,1.0
35,FwdPSHFlags,1.0
36,BwdPSHFlags,0.0
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.1
40,BwdHeaderLength,0.1
41,FwdPackets/s,1.0
42,BwdPackets/s,1.0
43,MinPacketLength,0.3
44,MaxPacketLength,0.9
45,PacketLengthMean,0.5
46,PacketLengthStd,0.8
47,PacketLengthVariance,0.5
48,FINFlagCount,0.0
49,SYNFlagCount,0.8
50,RSTFlagCount,1.0
51,PSHFlagCount,0.0
52,ACKFlagCount,1.0
53,URGFlagCount,1.0
54,CWEFlagCount,1.0
55,ECEFlagCount,0.0
56,Down/UpRatio,1.0
57,AveragePacketSize,0.4
58,AvgFwdSegmentSize,0.4
59,AvgBwdSegmentSize,0.4
60,FwdHeaderLength.1,0.1
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.0
68,SubflowFwdBytes,0.3
69,SubflowBwdPackets,0.1
70,SubflowBwdBytes,0.1
71,Init_Win_bytes_forward,0.6
72,Init_Win_bytes_backward,0.3
73,act_data_pkt_fwd,0.1
74,min_seg_size_forward,0.1
75,ActiveMean,0.1
76,ActiveStd,1.0
77,ActiveMax,1.0
78,ActiveMin,0.0
79,IdleMean,1.0
80,IdleStd,1.0
81,IdleMax,1.0
82,IdleMin,1.0
83,SimillarHTTP,0.6
84,Inbound,1.0
85,Label,0.0
