,feature,rank
0,FlowID,0.8
1,SourceIP,0.6
2,SourcePort,1.0
3,DestinationIP,0.8
4,DestinationPort,0.4
5,Protocol,0.9
6,FlowDuration,0.6
7,TotalFwdPackets,0.3
8,TotalBackwardPackets,0.3
9,TotalLengthofFwdPackets,0.7
10,TotalLengthofBwdPackets,0.2
11,FwdPacketLengthMax,0.9
12,FwdPacketLengthMin,0.8
13,FwdPacketLengthMean,0.3
14,FwdPacketLengthStd,0.7
15,BwdPacketLengthMax,0.7
16,BwdPacketLengthMin,0.8
17,BwdPacketLengthMean,0.6
18,BwdPacketLengthStd,0.9
19,FlowBytes/s,0.8
20,FlowPackets/s,0.6
21,FlowIATMean,0.8
22,FlowIATStd,0.9
23,FlowIATMax,0.7
24,FlowIATMin,0.7
25,FwdIATTotal,0.8
26,FwdIATMean,0.9
27,FwdIATStd,0.9
28,FwdIATMax,0.7
29,FwdIATMin,0.5
30,BwdIATTotal,0.9
31,BwdIATMean,0.9
32,BwdIATStd,0.9
33,BwdIATMax,0.8
34,BwdIATMin,0.5
35,FwdPSHFlags,0.5
36,BwdPSHFlags,0.2
37,FwdURGFlags,0.1
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.5
40,BwdHeaderLength,0.9
41,FwdPackets/s,0.6
42,BwdPackets/s,0.7
43,MinPacketLength,0.5
44,MaxPacketLength,0.9
45,PacketLengthMean,1.0
46,PacketLengthStd,0.6
47,PacketLengthVariance,0.8
48,FINFlagCount,0.1
49,SYNFlagCount,0.2
50,RSTFlagCount,0.1
51,PSHFlagCount,0.1
52,ACKFlagCount,1.0
53,URGFlagCount,1.0
54,CWEFlagCount,0.7
55,ECEFlagCount,0.1
56,Down/UpRatio,1.0
57,AveragePacketSize,0.7
58,AvgFwdSegmentSize,0.6
59,AvgBwdSegmentSize,0.3
60,FwdHeaderLength.1,0.1
61,FwdAvgBytes/Bulk,0.3
62,FwdAvgPackets/Bulk,0.2
63,FwdAvgBulkRate,0.1
64,BwdAvgBytes/Bulk,0.1
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.6
68,SubflowFwdBytes,0.3
69,SubflowBwdPackets,0.5
70,SubflowBwdBytes,0.6
71,Init_Win_bytes_forward,0.4
72,Init_Win_bytes_backward,1.0
73,act_data_pkt_fwd,0.6
74,min_seg_size_forward,0.6
75,ActiveMean,0.7
76,ActiveStd,0.9
77,ActiveMax,0.5
78,ActiveMin,0.8
79,IdleMean,0.5
80,IdleStd,0.8
81,IdleMax,0.5
82,IdleMin,0.7
83,SimillarHTTP,0.4
84,Inbound,1.0
85,Label,0.0
