,feature,rank
0,FlowID,0.0
1,SourceIP,0.2
2,SourcePort,0.0
3,DestinationIP,0.0
4,DestinationPort,0.0
5,Protocol,0.8
6,FlowDuration,1.0
7,TotalFwdPackets,1.0
8,TotalBackwardPackets,1.0
9,TotalLengthofFwdPackets,0.7
10,TotalLengthofBwdPackets,1.0
11,FwdPacketLengthMax,1.0
12,FwdPacketLengthMin,0.8
13,FwdPacketLengthMean,0.9
14,FwdPacketLengthStd,1.0
15,BwdPacketLengthMax,0.8
16,BwdPacketLengthMin,0.7
17,BwdPacketLengthMean,0.5
18,BwdPacketLengthStd,0.9
19,FlowBytes/s,0.2
20,FlowPackets/s,1.0
21,FlowIATMean,1.0
22,FlowIATStd,1.0
23,FlowIATMax,0.9
24,FlowIATMin,0.8
25,FwdIATTotal,1.0
26,FwdIATMean,0.9
27,FwdIATStd,1.0
28,FwdIATMax,1.0
29,FwdIATMin,0.9
30,BwdIATTotal,0.6
31,BwdIATMean,0.8
32,BwdIATStd,0.8
33,BwdIATMax,1.0
34,BwdIATMin,0.0
35,FwdPSHFlags,0.0
36,BwdPSHFlags,0.0
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.9
40,BwdHeaderLength,0.9
41,FwdPackets/s,1.0
42,BwdPackets/s,1.0
43,MinPacketLength,0.7
44,MaxPacketLength,0.9
45,PacketLengthMean,1.0
46,PacketLengthStd,0.9
47,PacketLengthVariance,0.8
48,FINFlagCount,0.0
49,SYNFlagCount,0.0
50,RSTFlagCount,0.0
51,PSHFlagCount,0.0
52,ACKFlagCount,0.0
53,URGFlagCount,0.0
54,CWEFlagCount,0.0
55,ECEFlagCount,0.0
56,Down/UpRatio,0.4
57,AveragePacketSize,0.8
58,AvgFwdSegmentSize,0.6
59,AvgBwdSegmentSize,0.7
60,FwdHeaderLength.1,1.0
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.9
68,SubflowFwdBytes,0.7
69,SubflowBwdPackets,0.9
70,SubflowBwdBytes,0.9
71,Init_Win_bytes_forward,0.0
72,Init_Win_bytes_backward,0.1
73,act_data_pkt_fwd,0.8
74,min_seg_size_forward,0.9
75,ActiveMean,0.9
76,ActiveStd,1.0
77,ActiveMax,0.9
78,ActiveMin,1.0
79,IdleMean,1.0
80,IdleStd,1.0
81,IdleMax,1.0
82,IdleMin,1.0
83,SimillarHTTP,0.2
84,Inbound,0.0
85,Label,0.0
