,feature,rank
0,DestinationPort,1.0
1,FlowDuration,0.8
2,TotalFwdPackets,0.4
3,TotalBackwardPackets,0.9
4,TotalLengthofFwdPackets,0.4
5,TotalLengthofBwdPackets,0.6
6,FwdPacketLengthMax,1.0
7,FwdPacketLengthMin,1.0
8,FwdPacketLengthMean,0.4
9,FwdPacketLengthStd,0.9
10,BwdPacketLengthMax,0.9
11,BwdPacketLengthMin,0.8
12,BwdPacketLengthMean,0.7
13,BwdPacketLengthStd,0.9
14,FlowBytes/s,1.0
15,FlowPackets/s,0.7
16,FlowIATMean,0.7
17,FlowIATStd,0.7
18,FlowIATMax,0.8
19,FlowIATMin,0.7
20,FwdIATTotal,0.4
21,FwdIATMean,0.7
22,FwdIATStd,0.7
23,FwdIATMax,0.9
24,FwdIATMin,0.8
25,BwdIATTotal,0.6
26,BwdIATMean,0.5
27,BwdIATStd,1.0
28,BwdIATMax,0.9
29,BwdIATMin,0.9
30,FwdPSHFlags,0.7
31,BwdPSHFlags,0.7
32,FwdURGFlags,0.2
33,BwdURGFlags,0.0
34,FwdHeaderLength,0.3
35,BwdHeaderLength,0.7
36,FwdPackets/s,0.4
37,BwdPackets/s,0.2
38,MinPacketLength,1.0
39,MaxPacketLength,1.0
40,PacketLengthMean,0.4
41,PacketLengthStd,0.5
42,PacketLengthVariance,1.0
43,FINFlagCount,0.6
44,SYNFlagCount,0.6
45,RSTFlagCount,0.4
46,PSHFlagCount,0.1
47,ACKFlagCount,1.0
48,URGFlagCount,1.0
49,CWEFlagCount,0.1
50,ECEFlagCount,0.2
51,Down/UpRatio,0.7
52,AveragePacketSize,0.9
53,AvgFwdSegmentSize,0.9
54,AvgBwdSegmentSize,0.5
55,FwdHeaderLength.1,0.5
56,FwdAvgBytes/Bulk,1.0
57,FwdAvgPackets/Bulk,1.0
58,FwdAvgBulkRate,1.0
59,BwdAvgBytes/Bulk,0.6
60,BwdAvgPackets/Bulk,0.5
61,BwdAvgBulkRate,0.2
62,SubflowFwdPackets,0.4
63,SubflowFwdBytes,0.5
64,SubflowBwdPackets,0.3
65,SubflowBwdBytes,0.2
66,Init_Win_bytes_forward,1.0
67,Init_Win_bytes_backward,0.6
68,act_data_pkt_fwd,0.7
69,min_seg_size_forward,1.0
70,ActiveMean,0.5
71,ActiveStd,0.4
72,ActiveMax,0.3
73,ActiveMin,0.4
74,IdleMean,0.5
75,IdleStd,0.5
76,IdleMax,0.4
77,IdleMin,0.7
78,Label,0.0
