,feature,rank
0,DestinationPort,1.0
1,FlowDuration,1.0
2,TotalFwdPackets,1.0
3,TotalBackwardPackets,1.0
4,TotalLengthofFwdPackets,1.0
5,TotalLengthofBwdPackets,1.0
6,FwdPacketLengthMax,1.0
7,FwdPacketLengthMin,1.0
8,FwdPacketLengthMean,1.0
9,FwdPacketLengthStd,1.0
10,BwdPacketLengthMax,1.0
11,BwdPacketLengthMin,1.0
12,BwdPacketLengthMean,1.0
13,BwdPacketLengthStd,1.0
14,FlowBytes/s,1.0
15,FlowPackets/s,1.0
16,FlowIATMean,1.0
17,FlowIATStd,1.0
18,FlowIATMax,1.0
19,FlowIATMin,1.0
20,FwdIATTotal,1.0
21,FwdIATMean,1.0
22,FwdIATStd,1.0
23,FwdIATMax,1.0
24,FwdIATMin,1.0
25,BwdIATTotal,1.0
26,BwdIATMean,1.0
27,BwdIATStd,1.0
28,BwdIATMax,1.0
29,BwdIATMin,1.0
30,FwdPSHFlags,1.0
31,BwdPSHFlags,0.0
32,FwdURGFlags,0.2
33,BwdURGFlags,0.1
34,FwdHeaderLength,1.0
35,BwdHeaderLength,1.0
36,FwdPackets/s,1.0
37,BwdPackets/s,1.0
38,MinPacketLength,1.0
39,MaxPacketLength,1.0
40,PacketLengthMean,1.0
41,PacketLengthStd,1.0
42,PacketLengthVariance,1.0
43,FINFlagCount,0.1
44,SYNFlagCount,1.0
45,RSTFlagCount,0.1
46,PSHFlagCount,1.0
47,ACKFlagCount,0.8
48,URGFlagCount,1.0
49,CWEFlagCount,0.2
50,ECEFlagCount,0.3
51,Down/UpRatio,1.0
52,AveragePacketSize,1.0
53,AvgFwdSegmentSize,1.0
54,AvgBwdSegmentSize,1.0
55,FwdHeaderLength.1,1.0
56,FwdAvgBytes/Bulk,0.2
57,FwdAvgPackets/Bulk,0.1
58,FwdAvgBulkRate,0.1
59,BwdAvgBytes/Bulk,0.1
60,BwdAvgPackets/Bulk,0.0
61,BwdAvgBulkRate,0.2
62,SubflowFwdPackets,1.0
63,SubflowFwdBytes,1.0
64,SubflowBwdPackets,1.0
65,SubflowBwdBytes,1.0
66,Init_Win_bytes_forward,1.0
67,Init_Win_bytes_backward,1.0
68,act_data_pkt_fwd,1.0
69,min_seg_size_forward,1.0
70,ActiveMean,1.0
71,ActiveStd,1.0
72,ActiveMax,1.0
73,ActiveMin,1.0
74,IdleMean,1.0
75,IdleStd,1.0
76,IdleMax,1.0
77,IdleMin,1.0
78,Label,0.0
