,feature,rank
0,DestinationPort,1.0
1,FlowDuration,0.6
2,TotalFwdPackets,1.0
3,TotalBackwardPackets,1.0
4,TotalLengthofFwdPackets,0.8
5,TotalLengthofBwdPackets,1.0
6,FwdPacketLengthMax,1.0
7,FwdPacketLengthMin,1.0
8,FwdPacketLengthMean,1.0
9,FwdPacketLengthStd,1.0
10,BwdPacketLengthMax,1.0
11,BwdPacketLengthMin,0.2
12,BwdPacketLengthMean,1.0
13,BwdPacketLengthStd,1.0
14,FlowBytes/s,0.9
15,FlowPackets/s,1.0
16,FlowIATMean,0.9
17,FlowIATStd,0.7
18,FlowIATMax,0.8
19,FlowIATMin,0.9
20,FwdIATTotal,0.5
21,FwdIATMean,0.6
22,FwdIATStd,0.6
23,FwdIATMax,0.7
24,FwdIATMin,0.9
25,BwdIATTotal,0.3
26,BwdIATMean,0.4
27,BwdIATStd,1.0
28,BwdIATMax,1.0
29,BwdIATMin,0.9
30,FwdPSHFlags,0.3
31,BwdPSHFlags,0.0
32,FwdURGFlags,0.0
33,BwdURGFlags,0.0
34,FwdHeaderLength,1.0
35,BwdHeaderLength,1.0
36,FwdPackets/s,1.0
37,BwdPackets/s,1.0
38,MinPacketLength,0.5
39,MaxPacketLength,1.0
40,PacketLengthMean,0.5
41,PacketLengthStd,0.1
42,PacketLengthVariance,1.0
43,FINFlagCount,0.0
44,SYNFlagCount,0.5
45,RSTFlagCount,0.3
46,PSHFlagCount,0.0
47,ACKFlagCount,1.0
48,URGFlagCount,0.2
49,CWEFlagCount,0.0
50,ECEFlagCount,0.3
51,Down/UpRatio,0.0
52,AveragePacketSize,0.9
53,AvgFwdSegmentSize,1.0
54,AvgBwdSegmentSize,1.0
55,FwdHeaderLength.1,1.0
56,FwdAvgBytes/Bulk,0.0
57,FwdAvgPackets/Bulk,0.0
58,FwdAvgBulkRate,0.0
59,BwdAvgBytes/Bulk,0.0
60,BwdAvgPackets/Bulk,0.0
61,BwdAvgBulkRate,0.0
62,SubflowFwdPackets,1.0
63,SubflowFwdBytes,0.7
64,SubflowBwdPackets,1.0
65,SubflowBwdBytes,1.0
66,Init_Win_bytes_forward,0.5
67,Init_Win_bytes_backward,0.0
68,act_data_pkt_fwd,1.0
69,min_seg_size_forward,0.0
70,ActiveMean,0.9
71,ActiveStd,0.9
72,ActiveMax,0.6
73,ActiveMin,0.9
74,IdleMean,0.9
75,IdleStd,0.7
76,IdleMax,0.7
77,IdleMin,0.9
78,Label,0.0
