,feature,rank
0,DestinationPort,1.0
1,FlowDuration,0.0
2,TotalFwdPackets,0.0
3,TotalBackwardPackets,0.0
4,TotalLengthofFwdPackets,0.0
5,TotalLengthofBwdPackets,0.0
6,FwdPacketLengthMax,0.0
7,FwdPacketLengthMin,0.0
8,FwdPacketLengthMean,0.0
9,FwdPacketLengthStd,0.0
10,BwdPacketLengthMax,0.0
11,BwdPacketLengthMin,1.0
12,BwdPacketLengthMean,0.0
13,BwdPacketLengthStd,0.0
14,FlowBytes/s,1.0
15,FlowPackets/s,0.0
16,FlowIATMean,0.0
17,FlowIATStd,0.0
18,FlowIATMax,0.0
19,FlowIATMin,0.0
20,FwdIATTotal,0.0
21,FwdIATMean,0.0
22,FwdIATStd,0.0
23,FwdIATMax,0.0
24,FwdIATMin,0.0
25,BwdIATTotal,0.0
26,BwdIATMean,0.0
27,BwdIATStd,0.0
28,BwdIATMax,0.0
29,BwdIATMin,0.0
30,FwdPSHFlags,0.0
31,BwdPSHFlags,0.0
32,FwdURGFlags,0.0
33,BwdURGFlags,0.0
34,FwdHeaderLength,0.0
35,BwdHeaderLength,0.0
36,FwdPackets/s,0.0
37,BwdPackets/s,0.1
38,MinPacketLength,1.0
39,MaxPacketLength,0.0
40,PacketLengthMean,0.0
41,PacketLengthStd,0.0
42,PacketLengthVariance,0.0
43,FINFlagCount,1.0
44,SYNFlagCount,0.0
45,RSTFlagCount,0.0
46,PSHFlagCount,0.0
47,ACKFlagCount,0.0
48,URGFlagCount,1.0
49,CWEFlagCount,0.0
50,ECEFlagCount,0.0
51,Down/UpRatio,1.0
52,AveragePacketSize,0.0
53,AvgFwdSegmentSize,0.0
54,AvgBwdSegmentSize,0.0
55,FwdHeaderLength.1,0.0
56,FwdAvgBytes/Bulk,0.0
57,FwdAvgPackets/Bulk,0.0
58,FwdAvgBulkRate,0.0
59,BwdAvgBytes/Bulk,0.0
60,BwdAvgPackets/Bulk,0.0
61,BwdAvgBulkRate,0.0
62,SubflowFwdPackets,0.0
63,SubflowFwdBytes,0.0
64,SubflowBwdPackets,0.0
65,SubflowBwdBytes,0.0
66,Init_Win_bytes_forward,1.0
67,Init_Win_bytes_backward,1.0
68,act_data_pkt_fwd,0.0
69,min_seg_size_forward,1.0
70,ActiveMean,0.0
71,ActiveStd,0.0
72,ActiveMax,0.0
73,ActiveMin,0.0
74,IdleMean,0.0
75,IdleStd,0.0
76,IdleMax,0.0
77,IdleMin,0.0
78,Label,0.0
