,feature,rank
0,duration,0.9
1,protocol_type,1.0
2,service,0.4
3,flag,0.7
4,src_bytes,0.3
5,dst_bytes,0.3
6,land,0.2
7,wrong_fragment,1.0
8,urgent,0.1
9,hot,0.9
10,num_failed_logins,0.3
11,logged_in,0.7
12,num_compromised,0.4
13,root_shell,0.5
14,su_attempted,0.3
15,num_root,0.5
16,num_file_creations,0.2
17,num_shells,0.3
18,num_access_files,0.6
19,num_outbound_cmds,0.4
20,is_host_login,0.1
21,is_guest_login,0.8
22,count,0.4
23,srv_count,1.0
24,serror_rate,0.4
25,srv_serror_rate,0.7
26,rerror_rate,0.4
27,srv_rerror_rate,0.6
28,same_srv_rate,1.0
29,diff_srv_rate,1.0
30,srv_diff_host_rate,0.8
31,dst_host_count,0.9
32,dst_host_srv_count,0.7
33,dst_host_same_srv_rate,0.8
34,dst_host_diff_srv_rate,1.0
35,dst_host_same_src_port_rate,1.0
36,dst_host_srv_diff_host_rate,0.7
37,dst_host_serror_rate,0.3
38,dst_host_srv_serror_rate,0.6
39,dst_host_rerror_rate,0.1
40,dst_host_srv_rerror_rate,0.7
41,level,1.0
42,Label,0.0
