,feature,rank
0,duration,1.0
1,protocol_type,1.0
2,service,1.0
3,flag,1.0
4,src_bytes,1.0
5,dst_bytes,1.0
6,land,0.2
7,wrong_fragment,0.3
8,urgent,0.4
9,hot,0.4
10,num_failed_logins,0.2
11,logged_in,1.0
12,num_compromised,0.3
13,root_shell,0.0
14,su_attempted,0.2
15,num_root,0.2
16,num_file_creations,0.2
17,num_shells,0.1
18,num_access_files,0.3
19,num_outbound_cmds,0.2
20,is_host_login,0.2
21,is_guest_login,0.1
22,count,1.0
23,srv_count,1.0
24,serror_rate,1.0
25,srv_serror_rate,1.0
26,rerror_rate,1.0
27,srv_rerror_rate,0.9
28,same_srv_rate,1.0
29,diff_srv_rate,1.0
30,srv_diff_host_rate,1.0
31,dst_host_count,1.0
32,dst_host_srv_count,1.0
33,dst_host_same_srv_rate,1.0
34,dst_host_diff_srv_rate,1.0
35,dst_host_same_src_port_rate,1.0
36,dst_host_srv_diff_host_rate,1.0
37,dst_host_serror_rate,1.0
38,dst_host_srv_serror_rate,1.0
39,dst_host_rerror_rate,1.0
40,dst_host_srv_rerror_rate,1.0
41,level,1.0
42,Label,0.0
