,feature,rank
0,duration,1.0
1,protocol_type,0.0
2,service,1.0
3,flag,1.0
4,src_bytes,1.0
5,dst_bytes,1.0
6,land,0.0
7,wrong_fragment,0.9
8,urgent,0.0
9,hot,0.5
10,num_failed_logins,0.0
11,logged_in,1.0
12,num_compromised,0.7
13,root_shell,0.0
14,su_attempted,0.0
15,num_root,1.0
16,num_file_creations,0.1
17,num_shells,0.0
18,num_access_files,0.0
19,num_outbound_cmds,0.0
20,is_host_login,0.0
21,is_guest_login,0.0
22,count,1.0
23,srv_count,0.4
24,serror_rate,1.0
25,srv_serror_rate,1.0
26,rerror_rate,1.0
27,srv_rerror_rate,1.0
28,same_srv_rate,1.0
29,diff_srv_rate,0.5
30,srv_diff_host_rate,0.0
31,dst_host_count,1.0
32,dst_host_srv_count,1.0
33,dst_host_same_srv_rate,1.0
34,dst_host_diff_srv_rate,0.9
35,dst_host_same_src_port_rate,0.0
36,dst_host_srv_diff_host_rate,0.0
37,dst_host_serror_rate,1.0
38,dst_host_srv_serror_rate,1.0
39,dst_host_rerror_rate,1.0
40,dst_host_srv_rerror_rate,1.0
41,level,1.0
42,Label,0.0
