,feature,rank
0,FlowID,0.5666666666666667
1,SourceIP,0.9833333333333334
2,SourcePort,0.75
3,DestinationIP,0.7000000000000001
4,DestinationPort,0.5333333333333333
5,Protocol,0.65
6,FlowDuration,0.7333333333333334
7,TotalFwdPackets,0.5166666666666667
8,TotalBackwardPackets,0.43333333333333335
9,TotalLengthofFwdPackets,0.48333333333333334
10,TotalLengthofBwdPackets,0.4166666666666667
11,FwdPacketLengthMax,0.5833333333333334
12,FwdPacketLengthMin,0.7666666666666666
13,FwdPacketLengthMean,0.7833333333333333
14,FwdPacketLengthStd,0.7666666666666666
15,BwdPacketLengthMax,0.7666666666666666
16,BwdPacketLengthMin,0.6833333333333332
17,BwdPacketLengthMean,0.7666666666666666
18,BwdPacketLengthStd,0.7333333333333334
19,FlowBytes/s,0.6833333333333332
20,FlowPackets/s,0.6333333333333333
21,FlowIATMean,0.5166666666666667
22,FlowIATStd,0.7666666666666666
23,FlowIATMax,0.7833333333333333
24,FlowIATMin,0.46666666666666673
25,FwdIATTotal,0.7666666666666666
26,FwdIATMean,0.7999999999999999
27,FwdIATStd,0.7833333333333333
28,FwdIATMax,0.7666666666666666
29,FwdIATMin,0.46666666666666673
30,BwdIATTotal,0.6333333333333333
31,BwdIATMean,0.4166666666666667
32,BwdIATStd,0.6166666666666667
33,BwdIATMax,0.7333333333333334
34,BwdIATMin,0.8333333333333334
35,FwdPSHFlags,0.6166666666666667
36,BwdPSHFlags,0.11666666666666665
37,FwdURGFlags,0.049999999999999996
38,BwdURGFlags,0.049999999999999996
39,FwdHeaderLength,0.43333333333333335
40,BwdHeaderLength,0.3833333333333333
41,FwdPackets/s,0.6333333333333334
42,BwdPackets/s,0.46666666666666673
43,MinPacketLength,0.7333333333333334
44,MaxPacketLength,0.5833333333333334
45,PacketLengthMean,0.65
46,PacketLengthStd,0.7000000000000001
47,PacketLengthVariance,0.7166666666666667
48,FINFlagCount,0.049999999999999996
49,SYNFlagCount,0.4666666666666666
50,RSTFlagCount,0.6
51,PSHFlagCount,0.08333333333333333
52,ACKFlagCount,0.65
53,URGFlagCount,0.6
54,CWEFlagCount,0.7666666666666666
55,ECEFlagCount,0.06666666666666667
56,Down/UpRatio,0.8333333333333334
57,AveragePacketSize,0.6833333333333332
58,AvgFwdSegmentSize,0.75
59,AvgBwdSegmentSize,0.7666666666666666
60,FwdHeaderLength.1,0.43333333333333335
61,FwdAvgBytes/Bulk,0.09999999999999999
62,FwdAvgPackets/Bulk,0.08333333333333333
63,FwdAvgBulkRate,0.08333333333333333
64,BwdAvgBytes/Bulk,0.06666666666666667
65,BwdAvgPackets/Bulk,0.06666666666666667
66,BwdAvgBulkRate,0.049999999999999996
67,SubflowFwdPackets,0.4666666666666666
68,SubflowFwdBytes,0.38333333333333336
69,SubflowBwdPackets,0.43333333333333335
70,SubflowBwdBytes,0.48333333333333334
71,Init_Win_bytes_forward,0.7833333333333333
72,Init_Win_bytes_backward,0.7666666666666666
73,act_data_pkt_fwd,0.45
74,min_seg_size_forward,0.3333333333333333
75,ActiveMean,0.5666666666666668
76,ActiveStd,0.41666666666666674
77,ActiveMax,0.43333333333333335
78,ActiveMin,0.5
79,IdleMean,0.7333333333333334
80,IdleStd,0.44999999999999996
81,IdleMax,0.75
82,IdleMin,0.8166666666666668
83,SimillarHTTP,0.5499999999999999
84,Inbound,0.6166666666666667
85,Label,0.0
