,feature,rank
0,FlowID,0.7000000000000001
1,SourceIP,0.6666666666666666
2,SourcePort,0.5499999999999999
3,DestinationIP,0.5499999999999999
4,DestinationPort,0.6333333333333333
5,Protocol,0.6666666666666666
6,FlowDuration,0.6166666666666667
7,TotalFwdPackets,0.3
8,TotalBackwardPackets,0.35000000000000003
9,TotalLengthofFwdPackets,0.6833333333333332
10,TotalLengthofBwdPackets,0.5833333333333334
11,FwdPacketLengthMax,0.7666666666666666
12,FwdPacketLengthMin,0.5333333333333333
13,FwdPacketLengthMean,0.6833333333333335
14,FwdPacketLengthStd,0.5499999999999999
15,BwdPacketLengthMax,0.7666666666666666
16,BwdPacketLengthMin,0.7666666666666666
17,BwdPacketLengthMean,0.6666666666666666
18,BwdPacketLengthStd,0.5666666666666668
19,FlowBytes/s,0.46666666666666673
20,FlowPackets/s,0.7166666666666667
21,FlowIATMean,0.43333333333333335
22,FlowIATStd,0.4000000000000001
23,FlowIATMax,0.5833333333333334
24,FlowIATMin,0.3
25,FwdIATTotal,0.43333333333333335
26,FwdIATMean,0.26666666666666666
27,FwdIATStd,0.26666666666666666
28,FwdIATMax,0.43333333333333335
29,FwdIATMin,0.30000000000000004
30,BwdIATTotal,0.39999999999999997
31,BwdIATMean,0.2833333333333333
32,BwdIATStd,0.3
33,BwdIATMax,0.4166666666666667
34,BwdIATMin,0.39999999999999997
35,FwdPSHFlags,0.5499999999999999
36,BwdPSHFlags,0.2333333333333333
37,FwdURGFlags,0.2333333333333333
38,BwdURGFlags,0.15
39,FwdHeaderLength,0.3666666666666667
40,BwdHeaderLength,0.4166666666666667
41,FwdPackets/s,0.7000000000000001
42,BwdPackets/s,0.5833333333333334
43,MinPacketLength,0.6
44,MaxPacketLength,0.7666666666666667
45,PacketLengthMean,0.7333333333333334
46,PacketLengthStd,0.7666666666666666
47,PacketLengthVariance,0.6666666666666666
48,FINFlagCount,0.11666666666666665
49,SYNFlagCount,0.39999999999999997
50,RSTFlagCount,0.6166666666666667
51,PSHFlagCount,0.049999999999999996
52,ACKFlagCount,0.7833333333333332
53,URGFlagCount,0.7166666666666667
54,CWEFlagCount,0.5
55,ECEFlagCount,0.049999999999999996
56,Down/UpRatio,0.4666666666666666
57,AveragePacketSize,0.7000000000000001
58,AvgFwdSegmentSize,0.6666666666666666
59,AvgBwdSegmentSize,0.7166666666666667
60,FwdHeaderLength.1,0.3333333333333333
61,FwdAvgBytes/Bulk,0.13333333333333333
62,FwdAvgPackets/Bulk,0.13333333333333333
63,FwdAvgBulkRate,0.13333333333333333
64,BwdAvgBytes/Bulk,0.09999999999999999
65,BwdAvgPackets/Bulk,0.09999999999999999
66,BwdAvgBulkRate,0.08333333333333333
67,SubflowFwdPackets,0.25
68,SubflowFwdBytes,0.6666666666666666
69,SubflowBwdPackets,0.3166666666666667
70,SubflowBwdBytes,0.55
71,Init_Win_bytes_forward,0.46666666666666673
72,Init_Win_bytes_backward,0.49999999999999994
73,act_data_pkt_fwd,0.6333333333333334
74,min_seg_size_forward,0.30000000000000004
75,ActiveMean,0.15
76,ActiveStd,0.25
77,ActiveMax,0.25
78,ActiveMin,0.3666666666666667
79,IdleMean,0.2833333333333333
80,IdleStd,0.3
81,IdleMax,0.2333333333333333
82,IdleMin,0.35000000000000003
83,SimillarHTTP,0.4166666666666667
84,Inbound,0.65
85,Label,0.0
