,feature,rank
0,FlowID,0.7999999999999999
1,SourceIP,0.7999999999999999
2,SourcePort,0.7999999999999999
3,DestinationIP,0.6333333333333333
4,DestinationPort,0.7333333333333334
5,Protocol,0.7833333333333333
6,FlowDuration,0.7666666666666666
7,TotalFwdPackets,0.5499999999999999
8,TotalBackwardPackets,0.5499999999999999
9,TotalLengthofFwdPackets,0.5666666666666667
10,TotalLengthofBwdPackets,0.46666666666666673
11,FwdPacketLengthMax,0.8166666666666668
12,FwdPacketLengthMin,0.7666666666666666
13,FwdPacketLengthMean,0.7000000000000001
14,FwdPacketLengthStd,0.7833333333333333
15,BwdPacketLengthMax,0.75
16,BwdPacketLengthMin,0.75
17,BwdPacketLengthMean,0.6833333333333332
18,BwdPacketLengthStd,0.7166666666666667
19,FlowBytes/s,0.6666666666666666
20,FlowPackets/s,0.7666666666666666
21,FlowIATMean,0.6333333333333333
22,FlowIATStd,0.65
23,FlowIATMax,0.7666666666666666
24,FlowIATMin,0.5333333333333333
25,FwdIATTotal,0.7999999999999999
26,FwdIATMean,0.6333333333333333
27,FwdIATStd,0.65
28,FwdIATMax,0.7833333333333333
29,FwdIATMin,0.5333333333333333
30,BwdIATTotal,0.75
31,BwdIATMean,0.6166666666666667
32,BwdIATStd,0.6166666666666667
33,BwdIATMax,0.7833333333333332
34,BwdIATMin,0.6333333333333333
35,FwdPSHFlags,0.5166666666666667
36,BwdPSHFlags,0.03333333333333333
37,FwdURGFlags,0.016666666666666666
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.3666666666666667
40,BwdHeaderLength,0.5
41,FwdPackets/s,0.7666666666666666
42,BwdPackets/s,0.6
43,MinPacketLength,0.7000000000000001
44,MaxPacketLength,0.6833333333333332
45,PacketLengthMean,0.8333333333333334
46,PacketLengthStd,0.75
47,PacketLengthVariance,0.75
48,FINFlagCount,0.016666666666666666
49,SYNFlagCount,0.19999999999999998
50,RSTFlagCount,0.4166666666666667
51,PSHFlagCount,0.016666666666666666
52,ACKFlagCount,0.5333333333333333
53,URGFlagCount,0.6666666666666666
54,CWEFlagCount,0.6666666666666666
55,ECEFlagCount,0.016666666666666666
56,Down/UpRatio,0.8166666666666668
57,AveragePacketSize,0.75
58,AvgFwdSegmentSize,0.7000000000000001
59,AvgBwdSegmentSize,0.6666666666666666
60,FwdHeaderLength.1,0.2833333333333333
61,FwdAvgBytes/Bulk,0.049999999999999996
62,FwdAvgPackets/Bulk,0.03333333333333333
63,FwdAvgBulkRate,0.016666666666666666
64,BwdAvgBytes/Bulk,0.016666666666666666
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.5833333333333334
68,SubflowFwdBytes,0.5
69,SubflowBwdPackets,0.5666666666666667
70,SubflowBwdBytes,0.5166666666666667
71,Init_Win_bytes_forward,0.7333333333333334
72,Init_Win_bytes_backward,0.8333333333333334
73,act_data_pkt_fwd,0.5666666666666668
74,min_seg_size_forward,0.5833333333333334
75,ActiveMean,0.45
76,ActiveStd,0.45
77,ActiveMax,0.39999999999999997
78,ActiveMin,0.5166666666666667
79,IdleMean,0.5833333333333334
80,IdleStd,0.39999999999999997
81,IdleMax,0.5666666666666668
82,IdleMin,0.5166666666666667
83,SimillarHTTP,0.4166666666666667
84,Inbound,0.6666666666666666
85,Label,0.0
